Table S8. Mangroves Coefficients,,,,,,
,countrycode,FractionChange_perC,FractionChange_perC_se,FractionChange_perC_sq,FractionChange_perC_sq_se,MangroveArea_2020_km2
80,SUR,-0.002643545,6.17E-05,-0.001272777,3.09E-05,793.6032371
81,TCA,-0.002143817,5.09E-05,-0.000448155,2.55E-05,150.4239209
82,TGO,-0.011153388,0.000387501,-0.001858835,0.000194137,0.284517562
83,THA,-0.009140184,0.000214169,-0.001568508,0.000107298,1426.148807
84,TLS,-0.00451457,0.000208384,0.0006913,0.0001044,18.1059435
85,TON,-0.001569145,8.43E-05,-0.000790504,4.22E-05,10.38670702
86,TTO,0,0,0,0,57.9607087
87,TZA,-0.004185876,9.76E-05,-0.001499225,4.89E-05,1176.017659
88,USA,-0.005443597,0.000152218,-0.000806709,7.63E-05,1300.82554
89,VCT,-0.002454142,5.85E-05,-0.000588648,2.93E-05,0.982826193
90,VEN,-0.003798992,9.68E-05,-0.001081528,4.85E-05,1859.131877
91,VGB,-0.002139881,5.10E-05,-0.000455117,2.56E-05,0.982962651
92,VIR,-0.002168875,5.31E-05,-0.000499313,2.66E-05,2.048158055
93,VNM,-0.005985721,0.000180845,-0.001625293,9.06E-05,1499.818203
94,VUT,-0.003295506,9.64E-05,-0.000708643,4.83E-05,15.6992828
95,WLF,-0.003173125,7.66E-05,-0.000883017,3.84E-05,0.293468235
96,WSM,-0.002947123,7.84E-05,-0.000873722,3.93E-05,2.312813579
97,YEM,-0.008382041,0.000154821,-0.001600236,7.76E-05,10.75825933
98,ZAF,0.001455072,1.53E-05,-0.000540593,7.64E-06,26.47866747
