Table S11. Fisheries Coefficients,,,
,iso_a3,GDP_FractionChange_perC,GDP_FractionChange_perC_se
188,CUB,-0.0001183,3.35E-05
189,HRV,-4.53E-05,4.33E-06
190,CIV,-9.18E-05,1.48E-05
191,CRI,-0.000351262,2.75E-05
192,COD,-1.16E-07,1.03E-05
193,COG,3.44E-05,3.38E-05
194,COM,-2.90E-05,5.51E-06
195,COL,-2.08E-05,1.35E-06
196,CHN,-1.34E-05,3.91E-07
197,MAC,NA,NA
198,HKG,NA,NA
199,CHL,-0.000622212,4.13E-05
200,TCD,NA,NA
201,CAF,NA,NA
202,CPV,-0.002098488,0.000122558
203,CAN,7.16E-05,1.32E-05
204,CMR,-8.93E-06,1.17E-05
205,KHM,-4.27E-05,4.42E-06
206,MMR,-8.46E-05,6.05E-06
207,BDI,NA,NA
208,BFA,NA,NA
209,BGR,-1.14E-05,8.49E-07
210,BRN,-0.00022706,1.25E-05
211,BRA,-5.52E-05,3.79E-06
212,BWA,NA,NA
213,BIH,NA,NA
214,BOL,NA,NA
215,BTN,NA,NA
216,BEN,-3.59E-05,8.81E-06
217,BLZ,-0.000532992,7.65E-05
218,BEL,-4.78E-07,2.25E-08
219,BLR,NA,NA
220,BRB,-0.00027874,3.37E-05
221,BGD,-2.03E-06,8.26E-07
222,BHR,-6.83E-06,1.49E-06
223,BHS,-0.003038155,0.000193899
224,AZE,0,0
225,AUT,NA,NA
226,AUS,-0.000125515,9.60E-06
227,-99,NA,NA
228,HMD,NA,NA
229,NFK,NA,NA
230,-99,NA,NA
231,ARM,NA,NA
232,ARG,-2.13E-05,2.30E-06
233,ATG,NA,NA
234,AGO,-1.57E-05,3.29E-05
235,AND,NA,NA
236,DZA,-1.96E-05,3.02E-06
237,ALB,-8.64E-05,8.62E-06
238,AFG,NA,NA
239,-99,NA,NA
240,ATA,NA,NA
241,SXM,NA,NA
242,TUV,NA,NA
