Table S10. Ports Coefficients,,,
,iso_a3,GDP_FractionChange_perC,GDP_FractionChange_perC_se
199,CHL,-0.002084915,0.000129828
200,TCD,NA,NA
201,CAF,NA,NA
202,CPV,-0.002291386,0.000173416
203,CAN,-0.001087725,9.84E-05
204,CMR,-0.000808304,4.37E-05
205,KHM,-0.000725837,0.000181561
206,MMR,-0.001987431,0.00027975
207,BDI,NA,NA
208,BFA,NA,NA
209,BGR,-0.00023773,1.09E-05
210,BRN,0.000203204,0.000230341
211,BRA,-0.001285277,8.06E-05
212,BWA,NA,NA
213,BIH,NA,NA
214,BOL,NA,NA
215,BTN,NA,NA
216,BEN,-0.001384557,0.000199323
217,BLZ,-0.002204192,0.000230236
218,BEL,-0.001241666,8.70E-05
219,BLR,NA,NA
220,BRB,-0.001789997,0.000117426
221,BGD,-0.00079921,8.07E-05
222,BHR,-0.00078136,7.51E-05
223,BHS,-0.00677226,0.000953429
224,AZE,NA,NA
225,AUT,NA,NA
226,AUS,-0.001078572,0.000159198
227,-99,NA,NA
228,HMD,NA,NA
229,NFK,NA,NA
230,-99,NA,NA
231,ARM,NA,NA
232,ARG,-0.000994551,7.61E-05
233,ATG,NA,NA
234,AGO,-0.006670544,0.000681246
235,AND,NA,NA
236,DZA,-0.001571653,9.25E-05
237,ALB,-0.000471631,1.85E-05
238,AFG,NA,NA
239,-99,NA,NA
240,ATA,NA,NA
241,SXM,NA,NA
242,TUV,NA,NA
