"","countrycode","FractionChange_perC","FractionChange_perC_se","FractionChange_perC_sq","FractionChange_perC_sq_se","cov_t_t2","r_sq","MangroveArea_2020_km2"
"53","MOZ",-0.00663041509757152,0.000131239644538665,-0.00204386629355242,6.57508326110629e-05,-8.33130315673483e-09,0.999244698692893,2913.50902849796
"54","MRT",-0.005594687808396,0.000131587233554123,-0.00101317975538436,6.59249741004976e-05,-8.375492613908e-09,0.998504232565589,0.0412992342388426
"55","MTQ",-0.00221579212608174,5.72611715817364e-05,-0.000565937722834398,2.86877469153378e-05,-1.58600044930776e-09,0.998528675707557,12.147748163661
"56","MUS",-0.00134625709499147,9.24330265228672e-05,-0.00130488411579223,4.63087847883379e-05,-4.13273152886666e-09,0.997254372546751,3.95769170842427
"57","MYS",-0.00335714892028629,6.28969518980698e-05,-0.000743583978958563,3.15112630069467e-05,-1.91355982903141e-09,0.999152485059229,3595.64874327889
"58","MYT",-0.00373885082684412,0.000105944843549473,-0.00136050820911937,5.30781815107277e-05,-5.42928318847228e-09,0.998644838559283,6.74998501886902
"59","NCL",-0.00143616112952837,6.13053800711605e-05,-0.000952862767480923,3.07138883024704e-05,-1.81794200862199e-09,0.998303923631431,329.190021829446
"60","NGA",-0.00623972541606938,0.000214927085824131,0.00108581153882427,0.00010767809447581,-2.23442173475295e-08,0.987110665062123,8634.47016271959
"61","NIC",-0.00337673297725711,9.58330992272388e-05,-0.00118821227379377,4.80122152725976e-05,-4.44236167385111e-09,0.998602270772061,593.724069374442
"62","NZL",0.00996415254460759,0.000128328446335643,-0.00332304313776297,6.42923273978146e-05,-7.9657875507483e-09,0.994819383604522,295.80925803
"63","OMN",-0.00986664946960417,0.000138660438388232,-0.00168596315737595,6.94686373640343e-05,-9.30010784515905e-09,0.999449297614586,1.80451804453793
"64","PAK",-0.00834203581367145,0.000337251984509957,-0.0022422964313646,0.000168962654990505,-5.50163627225602e-08,0.996529309519787,593.761237918972
"65","PAN",-0.00243672873733233,9.13188366968665e-05,-0.00118178675316604,4.57505776322317e-05,-4.03369993091304e-09,0.998176225281238,856.867093841347
"66","PER",-0.0031155628631089,9.72300203434688e-05,-0.000978778068645658,4.87120703111187e-05,-4.57281466712479e-09,0.998151393298268,0.793644852674224
"67","PHL",-0.00389931847797144,6.75473131074062e-05,-0.00105792002452553,3.38410858476813e-05,-2.20698307980557e-09,0.999365091706807,1781.6781217548
"68","PNG",-0.00111852007907459,9.25375629222192e-05,-0.000711808970198716,4.63611573417665e-05,-4.14208457474366e-09,0.993354408822502,4049.03813609667
"69","PRI",-0.00163238934669285,4.06030771110926e-05,-0.000322044267224883,2.03420706906823e-05,-7.97445006086882e-10,0.998403105112122,57.7268557410418
"70","PYF",-0.00200925747000594,9.46541755421624e-05,-0.000358562719617434,4.7421576566198e-05,-4.33373549356036e-09,0.993980591235127,1.23376633438026
"71","QAT",-0.00834713713661451,0.00016480000078737,-0.00134509686349171,8.25645124547792e-05,-1.31370322400055e-08,0.998881984272551,4.12332157710467
"72","SAU",-0.00962171808872513,0.000157893019951963,-0.00208120650415495,7.91041271241649e-05,-1.20589282077836e-08,0.999340319789283,39.5208639543677
"73","SDN",-0.01210498782662,0.000200011109091249,-0.00245424634515879,0.000100205216193933,-1.93504506195974e-08,0.999305484547047,2.32226022730805
"74","SEN",-0.00896536959955793,0.00021128732246524,-0.000651271390050234,0.000105854579392425,-2.15938323845359e-08,0.997890481720432,1651.38905430633
"75","SLB",-0.00525824457721106,6.8793209638691e-05,0.000456228070194428,3.44652778330159e-05,-2.28914863201725e-09,0.998782963984135,515.266319750813
"76","SLE",-0.0100830374745938,0.000280607620711629,-0.000725303364116873,0.000140583927696965,-3.8087438818705e-08,0.99705370727687,1269.09219022373
"77","SLV",-0.00664860563528491,0.000201826629708787,-0.000938679665613758,0.000101114788851229,-1.97033368832082e-08,0.997197313683506,21.4311729871408
"78","SOM",-0.00606922976190684,0.000121475669158241,-0.00203378130838585,6.08590980051558e-05,-7.13775187900083e-09,0.999276251798641,27.6759284136662
"79","STP",-0.000100577349925,1.68993856569432e-05,1.75526044250111e-05,8.46656268740587e-06,-1.38141663305861e-10,0.762446338444988,0.483852048647284
"80","SUR",-0.0026435445743234,6.16778828636688e-05,-0.00127277711555806,3.09005115506777e-05,-1.84010142872693e-09,0.999287242800261,793.603237073167
"81","TCA",-0.00214381711335319,5.08725286082907e-05,-0.000448154737702715,2.54870479479224e-05,-1.25184193640915e-09,0.998593547941636,150.423920948999
"82","TGO",-0.011153388225491,0.000387500872358523,-0.00185883502158581,0.000194137260007435,-7.26320355986683e-08,0.996601886787378,0.284517562325978
"83","THA",-0.00914018406285755,0.000214168853622497,-0.00156850842081432,0.000107298221467579,-2.21868409947136e-08,0.998473848475981,1426.14880719094
"84","TLS",-0.00451456953860787,0.000208384126545689,0.00069130035500451,0.000104400083309213,-2.10044887242988e-08,0.979465216244904,18.105943502717
"85","TON",-0.00156914476224554,8.43141911298034e-05,-0.000790504226734739,4.22412624416978e-05,-3.43862014200555e-09,0.996396132263624,10.3867070228426
"86","TTO",0,0,0,0,0,NA,57.9607086990159
"87","TZA",-0.00418587603414218,9.75656690585127e-05,-0.00149922479397716,4.8880229730908e-05,-4.60444087913884e-09,0.999070477529392,1176.01765909491
"88","USA",-0.00544359683067024,0.000152218162661588,-0.000806709048429706,7.62610335368368e-05,-1.12076819444349e-08,0.99767106454329,1300.82554040661
"89","VCT",-0.00245414239375937,5.85422093088147e-05,-0.000588647705929122,2.93295445783661e-05,-1.65775773552204e-09,0.998693354411359,0.982826192568207
"90","VEN",-0.00379899160547992,9.6834657943754e-05,-0.0010815281634453,4.85139944396415e-05,-4.53570178283487e-09,0.99867237911259,1859.13187685099
"91","VGB",-0.00213988069919833,5.1026738581026e-05,-0.000455117378853317,2.5564306874826e-05,-1.25944286002201e-09,0.998594095744456,0.982962651363092
"92","VIR",-0.00216887454245472,5.3103144536061e-05,-0.000499313244269187,2.66045826303878e-05,-1.3640281231781e-09,0.998587383893131,2.04815805507747
"93","VNM",-0.00598572079759028,0.000180845261783369,-0.00162529256606911,9.06031601793847e-05,-1.58196589320104e-08,0.998072268923197,1499.81820340253
"94","VUT",-0.00329550555507123,9.63909981288004e-05,-0.000708643488433271,4.82917216475152e-05,-4.49423524931435e-09,0.997899904133831,15.6992828017428
"95","WLF",-0.00317312507194785,7.66489461985653e-05,-0.000883017099676638,3.84009881239162e-05,-2.84181121345472e-09,0.998787990439951,0.293468235036852
"96","WSM",-0.00294712332423826,7.83765742166158e-05,-0.000873721927218897,3.92665267424359e-05,-2.97136087522246e-09,0.998597042095305,2.31281357862204
"97","YEM",-0.00838204084826936,0.000154821239692349,-0.00160023601432995,7.75651705811336e-05,-1.15942838398423e-08,0.999102685118249,10.758259334558
"98","ZAF",0.00145507166464288,1.52530912024764e-05,-0.000540593216319128,7.641772042135e-06,-1.12537841472055e-10,0.995408761561379,26.4786674689449
