iso3,scc,oc_capital,valuation
BGR,-3.1371601882302273e-10,Mangroves,Non-market use value
BGR,-3.1371601882302273e-10,Mangroves,Nonuse value
BGR,0.0003570927912794872,Ports,Market value
BGR,0.017460717230483678,Total,Total
BHR,4.5881153208121594e-05,Corals,Market value
BHR,0.034535599242584605,Corals,Non-market use value
BHR,0.03382165782536985,Corals,Nonuse value
BHR,1.2288780071811188e-05,Fisheries,Market value
BHR,1.8753411934752427e-10,Fisheries,Non-market use value
BHR,2.7213643861838273e-10,Mangroves,Market value
BHR,1.8753411934752427e-10,Mangroves,Non-market use value
BHR,1.8753411934752427e-10,Mangroves,Nonuse value
BHR,0.0014050556167830854,Ports,Market value
BHR,0.06982048285509686,Total,Total
BHS,0.0003366519680048619,Corals,Market value
BHS,0.006565758572243915,Corals,Non-market use value
BHS,0.007931846012538601,Corals,Nonuse value
BHS,0.0005465550193843463,Fisheries,Market value
BHS,0.0006083669771909755,Fisheries,Non-market use value
BHS,5.8146278381897224e-06,Mangroves,Market value
BHS,5.127019197361137e-05,Mangroves,Non-market use value
BHS,6.562361042251286e-05,Mangroves,Nonuse value
BHS,0.0012183094615927383,Ports,Market value
BHS,0.017330196870222442,Total,Total
BIH,6.634133248470931e-11,Corals,Market value
BIH,6.634133248470931e-11,Corals,Non-market use value
BIH,6.634133248470931e-11,Corals,Nonuse value
BIH,6.634133248470931e-11,Fisheries,Market value
BIH,6.634133248470931e-11,Fisheries,Non-market use value
BIH,6.634133248470931e-11,Mangroves,Market value
BIH,6.634133248470931e-11,Mangroves,Non-market use value
BIH,6.634133248470931e-11,Mangroves,Nonuse value
BIH,6.634133248470931e-11,Ports,Market value
BIH,-0.0,Total,Total
BLR,1.022658154422296e-10,Corals,Market value
BLR,1.022658154422296e-10,Corals,Non-market use value
BLR,1.022658154422296e-10,Corals,Nonuse value
BLR,1.022658154422296e-10,Fisheries,Market value
BLR,1.022658154422296e-10,Fisheries,Non-market use value
BLR,1.022658154422296e-10,Mangroves,Market value
BLR,1.022658154422296e-10,Mangroves,Non-market use value
BLR,1.022658154422296e-10,Mangroves,Nonuse value
BLR,1.022658154422296e-10,Ports,Market value
BLR,-0.0,Total,Total
BLZ,0.00010776626161491025,Corals,Market value
BLZ,0.000648014362064691,Corals,Non-market use value
BLZ,0.000967852337853445,Corals,Nonuse value
BLZ,3.732976157980539e-05,Fisheries,Market value
BLZ,0.0010242559215707227,Fisheries,Non-market use value
BLZ,2.098123725182259e-05,Mangroves,Market value
BLZ,6.149478921514196e-05,Mangroves,Non-market use value
BLZ,0.0001319241316410841,Mangroves,Nonuse value
BLZ,0.00015437732592444108,Ports,Market value
BLZ,0.003153996005160038,Total,Total
BOL,2.4885295665829995e-10,Corals,Market value
BOL,2.4885295665829995e-10,Corals,Non-market use value
BOL,2.4885295665829995e-10,Corals,Nonuse value
BOL,2.4885295665829995e-10,Fisheries,Market value
BOL,2.4885295665829995e-10,Fisheries,Non-market use value
BOL,2.4885295665829995e-10,Mangroves,Market value
BOL,2.4885295665829995e-10,Mangroves,Non-market use value
BOL,2.4885295665829995e-10,Mangroves,Nonuse value
BOL,2.4885295665829995e-10,Ports,Market value
BOL,-0.0,Total,Total
BRA,0.000157866329446317,Corals,Market value
BRA,0.013881564874228257,Corals,Non-market use value
BRA,0.06260339711708772,Corals,Nonuse value
BRA,0.002649826268139348,Fisheries,Market value
BRA,0.2887253251801934,Fisheries,Non-market use value
BRA,0.0006478399086245777,Mangroves,Market value
BRA,0.011891977252832116,Mangroves,Non-market use value
BRA,0.04141947319191663,Mangroves,Nonuse value
BRA,0.06167119193685248,Ports,Market value
BRA,0.48364844140634866,Total,Total
BRB,1.6097880693554e-05,Corals,Market value
BRB,0.00019725138852176387,Corals,Non-market use value
BRB,0.0018485962924109935,Corals,Nonuse value
BRB,2.0357304967453094e-05,Fisheries,Market value
BRB,0.000974724035493497,Fisheries,Non-market use value
BRB,4.016634016114598e-11,Mangroves,Market value
BRB,3.628837889927117e-11,Mangroves,Non-market use value
BRB,3.628837889927117e-11,Mangroves,Nonuse value
BRB,0.00013072909676688097,Ports,Market value
BRB,0.0031877558360820855,Total,Total
BTN,1.522241359054446e-11,Corals,Market value
BTN,1.522241359054446e-11,Corals,Non-market use value
BTN,1.522241359054446e-11,Corals,Nonuse value
BTN,1.522241359054446e-11,Fisheries,Market value
BTN,1.522241359054446e-11,Fisheries,Non-market use value
BTN,1.522241359054446e-11,Mangroves,Market value
