"","countrycode","GDPDam_perC","GDPDam_perC_se_adj","GDPDam_perC_sq","GDPDam_perC_sq_se_adj","cov_t_t2_adj"
"95","USA",-1.42794516606606e-06,3.44957922943884e-08,6.51914705300514e-08,1.72823316682034e-08,-1.30014368833421e-16
"96","VCT",-3.0405565840378e-06,4.3774072736518e-08,3.87019739091984e-07,2.19307339586351e-08,-4.42199102074045e-16
"97","VEN",-0.000191338390338434,4.53899323480613e-06,-1.78454609406302e-05,2.27402768007773e-06,-1.69809171016709e-12
"98","VGB",-8.41982985266824e-10,1.28626632498857e-11,1.57836659118923e-10,6.44417181445917e-12,-5.64236465027485e-23
"99","VIR",-4.57917996677442e-10,1.05028350267113e-11,2.6562212488571e-11,5.26190199775689e-12,-3.38108128363245e-23
"100","VNM",-0.000281141230094622,5.30340371129578e-06,2.05675154906288e-05,2.65699599321581e-06,-2.80024961036059e-12
"101","VUT",-6.03763796008641e-06,2.11541444806736e-07,-6.78527843645361e-07,1.0598189424151e-07,-1.11134444188427e-14
"102","WLF",-7.30494958901438e-11,1.08261935312733e-12,1.36442835604993e-11,5.42390404356824e-13,-4.22030327387163e-25
"103","WSM",-4.25115693775926e-06,1.17034025398261e-07,-4.33449098901538e-08,5.86338422418761e-08,-4.87457003465914e-15
"104","YEM",-1.67013526824324e-05,2.11251696115574e-07,1.92072992130167e-06,1.05836730653489e-07,-1.02992941834251e-14
"105","ZAF",1.40611821367313e-07,2.55326417086544e-09,-5.45872922619924e-08,1.27918088852289e-09,-2.60628816425589e-18
