"","country_iso3","GDP_FractionChange_perC","GDP_FractionChange_perC_se","pval"
"82","MDG",-1.69687752940702e-05,1.75445819495832e-05,0.33673694014511
"83","MDV",-0.00275317326371008,0.000457683820329914,7.0698876849408e-08
"84","MEX",-7.09222113625371e-05,7.59726224977889e-06,5.65605114318428e-14
"85","MLT",-0.000532578921867062,2.71646754973599e-05,2.2800717171149e-30
"86","MMR",-8.46133132261695e-05,6.04780380875021e-06,4.29864903409724e-22
"87","MNE",-0.000145030179275703,1.23898141680124e-05,3.08514551070562e-18
"88","MOZ",-3.41004959698128e-06,1.50547976979955e-06,0.0265601603030224
"89","MRT",-0.000238601681011517,4.59838650281975e-05,1.92217977947294e-06
"90","MUS",6.52862123462644e-05,7.91932613348109e-06,5.90118272965405e-12
"91","MYS",-5.71940124543454e-05,5.78897488236767e-06,5.68184651168339e-15
"92","NAM",-0.000374851233371361,7.58379694733197e-05,4.95963330699665e-06
"93","NCL",0.000447927870681316,8.9774061459976e-05,4.14876856390261e-06
"94","NGA",-1.66823073528633e-06,2.81477575289623e-06,0.555285598019342
"95","NIC",-0.000279337353676943,1.60764358205984e-05,2.79870089873249e-27
"96","NLD",-1.92118166091311e-06,1.58964236273845e-07,6.74351593273358e-19
"97","NOR",5.37533471782826e-05,9.85800020370947e-06,6.8179855264437e-07
"98","NZL",-0.000119085315730547,1.11409488914543e-05,1.94990579584664e-16
"99","OMN",-9.42353516955491e-05,5.12099920763256e-06,9.88212113664958e-29
"100","PAK",-1.59724074837272e-06,4.05335421773536e-07,0.000188144179642641
"101","PAN",-0.000246201392331209,1.5310693856343e-05,2.28039211850211e-25
"102","PER",-0.00116818057418467,5.45803786030844e-05,1.09558802864895e-32
"103","PHL",-6.24388251607754e-05,2.76112080121868e-05,0.0268019514527977
"104","PNG",-0.000156682295934677,2.9527239885275e-05,1.21436102259947e-06
"105","POL",-3.50365830752668e-06,2.45693266677318e-07,1.57494387594665e-22
