country,iso_a3,continent,oc_capital,percentage_of_YGROSS,quantile_group
Congo,COG,Africa,Corals,NA,NA
Congo,COG,Africa,Fisheries & Mariculture,4.992633578131304,Q4 (1.9 - 20.5)
Congo,COG,Africa,Mangroves,0.014059156177310007,Q1 (0 - 0.08)
Congo,COG,Africa,Ports,0.15708957956069725,Q2 (0.08 - 0.35)
Comoros,COM,Africa,Corals,7.657851219927313,Q4 (1.9 - 20.5)
Comoros,COM,Africa,Fisheries & Mariculture,0.002618931580660764,Q1 (0 - 0.08)
Comoros,COM,Africa,Mangroves,0.01698196087745597,Q1 (0 - 0.08)
Comoros,COM,Africa,Ports,0.42886902034739666,Q3 (0.35 - 1.9)
Colombia,COL,South America,Corals,1.8467703274650513,Q3 (0.35 - 1.9)
Colombia,COL,South America,Fisheries & Mariculture,2.089414471058903,Q4 (1.9 - 20.5)
Colombia,COL,South America,Mangroves,0.11389580208163691,Q2 (0.08 - 0.35)
Colombia,COL,South America,Ports,0.09491887780773028,Q2 (0.08 - 0.35)
China,CHN,Asia,Corals,0.503609299977351,Q3 (0.35 - 1.9)
China,CHN,Asia,Fisheries & Mariculture,1.38420301383212,Q3 (0.35 - 1.9)
China,CHN,Asia,Mangroves,0.048709422911135176,Q1 (0 - 0.08)
China,CHN,Asia,Ports,0.048181843869746686,Q1 (0 - 0.08)
Hong Kong,HKG,Asia,Corals,NA,NA
Hong Kong,HKG,Asia,Fisheries & Mariculture,NA,NA
Hong Kong,HKG,Asia,Mangroves,NA,NA
Hong Kong,HKG,Asia,Ports,0.5762628072513641,Q3 (0.35 - 1.9)
Chile,CHL,South America,Corals,NA,NA
Chile,CHL,South America,Fisheries & Mariculture,1.7085451329490255,Q3 (0.35 - 1.9)
Chile,CHL,South America,Mangroves,NA,NA
Chile,CHL,South America,Ports,0.17127639139223372,Q2 (0.08 - 0.35)
Chad,TCD,Africa,Corals,NA,NA
Chad,TCD,Africa,Fisheries & Mariculture,NA,NA
Chad,TCD,Africa,Mangroves,NA,NA
Chad,TCD,Africa,Ports,NA,NA
Central African Rep.,CAF,Africa,Corals,NA,NA
Central African Rep.,CAF,Africa,Fisheries & Mariculture,NA,NA
Central African Rep.,CAF,Africa,Mangroves,NA,NA
Central African Rep.,CAF,Africa,Ports,NA,NA
Cabo Verde,CPV,Africa,Corals,NA,NA
Cabo Verde,CPV,Africa,Fisheries & Mariculture,4.090976641729331,Q4 (1.9 - 20.5)
Cabo Verde,CPV,Africa,Mangroves,NA,NA
Cabo Verde,CPV,Africa,Ports,0.1669160201263315,Q2 (0.08 - 0.35)
Canada,CAN,North America,Corals,NA,NA
Canada,CAN,North America,Fisheries & Mariculture,1.3848570290111222,Q3 (0.35 - 1.9)
Canada,CAN,North America,Mangroves,NA,NA
Canada,CAN,North America,Ports,0.08895330395640424,Q2 (0.08 - 0.35)
Cameroon,CMR,Africa,Corals,NA,NA
Cameroon,CMR,Africa,Fisheries & Mariculture,7.31247527229809,Q4 (1.9 - 20.5)
Cameroon,CMR,Africa,Mangroves,0.018474505970047878,Q1 (0 - 0.08)
Cameroon,CMR,Africa,Ports,0.06322034826093913,Q1 (0 - 0.08)
Cambodia,KHM,Asia,Corals,0.1842194999355421,Q2 (0.08 - 0.35)
Cambodia,KHM,Asia,Fisheries & Mariculture,5.486854672783814,Q4 (1.9 - 20.5)
Cambodia,KHM,Asia,Mangroves,0.28174031235368346,Q2 (0.08 - 0.35)
Cambodia,KHM,Asia,Ports,0.06429743620185052,Q1 (0 - 0.08)
Myanmar,MMR,Asia,Corals,1.443027597767896,Q3 (0.35 - 1.9)
Myanmar,MMR,Asia,Fisheries & Mariculture,0.006312381007641026,Q1 (0 - 0.08)
Myanmar,MMR,Asia,Mangroves,0.3245338488084009,Q2 (0.08 - 0.35)
Myanmar,MMR,Asia,Ports,0.14810250380656165,Q2 (0.08 - 0.35)
Burkina Faso,BFA,Africa,Corals,NA,NA
Burkina Faso,BFA,Africa,Fisheries & Mariculture,NA,NA
Burkina Faso,BFA,Africa,Mangroves,NA,NA
Burkina Faso,BFA,Africa,Ports,NA,NA
Bulgaria,BGR,Europe,Corals,NA,NA
Bulgaria,BGR,Europe,Fisheries & Mariculture,1.7686723244655669,Q3 (0.35 - 1.9)
Bulgaria,BGR,Europe,Mangroves,NA,NA
Bulgaria,BGR,Europe,Ports,0.019171697572439608,Q1 (0 - 0.08)
Brazil,BRA,South America,Corals,0.39036484862598553,Q3 (0.35 - 1.9)
Brazil,BRA,South America,Fisheries & Mariculture,0.7515716217090427,Q3 (0.35 - 1.9)
Brazil,BRA,South America,Mangroves,0.20693627478018597,Q2 (0.08 - 0.35)
Brazil,BRA,South America,Ports,0.11184193817491335,Q2 (0.08 - 0.35)
Botswana,BWA,Africa,Corals,NA,NA
Botswana,BWA,Africa,Fisheries & Mariculture,NA,NA
Botswana,BWA,Africa,Mangroves,NA,NA
Botswana,BWA,Africa,Ports,NA,NA
Bosnia and Herz.,BIH,Europe,Corals,NA,NA
Bosnia and Herz.,BIH,Europe,Fisheries & Mariculture,NA,NA
Bosnia and Herz.,BIH,Europe,Mangroves,NA,NA
Bosnia and Herz.,BIH,Europe,Ports,NA,NA
Bolivia,BOL,South America,Corals,NA,NA
Bolivia,BOL,South America,Fisheries & Mariculture,NA,NA
Bolivia,BOL,South America,Mangroves,NA,NA
Bolivia,BOL,South America,Ports,NA,NA
Bhutan,BTN,Asia,Corals,NA,NA
Bhutan,BTN,Asia,Fisheries & Mariculture,NA,NA
Bhutan,BTN,Asia,Mangroves,NA,NA
Bhutan,BTN,Asia,Ports,NA,NA
Benin,BEN,Africa,Corals,NA,NA
Benin,BEN,Africa,Fisheries & Mariculture,6.969213981068238,Q4 (1.9 - 20.5)
Benin,BEN,Africa,Mangroves,0.10709658960519855,Q2 (0.08 - 0.35)
Benin,BEN,Africa,Ports,0.12010013391971758,Q2 (0.08 - 0.35)
Belize,BLZ,North America,Corals,6.490268265414725,Q4 (1.9 - 20.5)
Belize,BLZ,North America,Fisheries & Mariculture,1.350301735655847,Q3 (0.35 - 1.9)
Belize,BLZ,North America,Mangroves,0.4925499074908989,Q3 (0.35 - 1.9)
Belize,BLZ,North America,Ports,0.20140529597779755,Q2 (0.08 - 0.35)
Belgium,BEL,Europe,Corals,NA,NA
Belgium,BEL,Europe,Fisheries & Mariculture,1.354183953859915,Q3 (0.35 - 1.9)
Belgium,BEL,Europe,Mangroves,NA,NA
Belgium,BEL,Europe,Ports,0.0976274151629814,Q2 (0.08 - 0.35)
Belarus,BLR,Europe,Corals,NA,NA
Belarus,BLR,Europe,Fisheries & Mariculture,NA,NA
Belarus,BLR,Europe,Mangroves,NA,NA
Belarus,BLR,Europe,Ports,NA,NA
Barbados,BRB,North America,Corals,6.549615307135166,Q4 (1.9 - 20.5)
Barbados,BRB,North America,Fisheries & Mariculture,2.1320159283335727,Q4 (1.9 - 20.5)
Barbados,BRB,North America,Mangroves,NA,NA
Barbados,BRB,North America,Ports,0.16428907762723768,Q2 (0.08 - 0.35)
Bangladesh,BGD,Asia,Corals,0.003927685436294455,Q1 (0 - 0.08)
Bangladesh,BGD,Asia,Fisheries & Mariculture,3.633931974194525,Q4 (1.9 - 20.5)
Bangladesh,BGD,Asia,Mangroves,0.31029120728020676,Q2 (0.08 - 0.35)
Bangladesh,BGD,Asia,Ports,0.05884560811290182,Q1 (0 - 0.08)
Bahrain,BHR,Asia,Corals,6.778586757230953,Q4 (1.9 - 20.5)
Bahrain,BHR,Asia,Fisheries & Mariculture,5.119213566562455e-4,Q1 (0 - 0.08)
Bahrain,BHR,Asia,Mangroves,NA,NA
Bahrain,BHR,Asia,Ports,0.05850590605932383,Q1 (0 - 0.08)
Bahamas,BHS,North America,Corals,19.724354641681394,Q4 (1.9 - 20.5)
Bahamas,BHS,North America,Fisheries & Mariculture,0.47175334593484963,Q3 (0.35 - 1.9)
Bahamas,BHS,North America,Mangroves,0.08800549369963916,Q2 (0.08 - 0.35)
Bahamas,BHS,North America,Ports,0.5917752744342905,Q3 (0.35 - 1.9)
Azerbaijan,AZE,Asia,Corals,NA,NA
Azerbaijan,AZE,Asia,Fisheries & Mariculture,NA,NA
Azerbaijan,AZE,Asia,Mangroves,NA,NA
Azerbaijan,AZE,Asia,Ports,NA,NA
Austria,AUT,Europe,Corals,NA,NA
Austria,AUT,Europe,Fisheries & Mariculture,NA,NA
Austria,AUT,Europe,Mangroves,NA,NA
Austria,AUT,Europe,Ports,NA,NA
Australia,AUS,Oceania,Corals,16.469022289720723,Q4 (1.9 - 20.5)
Australia,AUS,Oceania,Fisheries & Mariculture,0.056613598047421415,Q1 (0 - 0.08)
Australia,AUS,Oceania,Mangroves,0.034406152230556965,Q1 (0 - 0.08)
Australia,AUS,Oceania,Ports,0.08695342748348406,Q2 (0.08 - 0.35)
Armenia,ARM,Asia,Corals,NA,NA
Armenia,ARM,Asia,Fisheries & Mariculture,NA,NA
Armenia,ARM,Asia,Mangroves,NA,NA
Armenia,ARM,Asia,Ports,NA,NA
Argentina,ARG,South America,Corals,-7.171913002675363e-14,NA
Argentina,ARG,South America,Fisheries & Mariculture,1.4430919040692642,Q3 (0.35 - 1.9)
Argentina,ARG,South America,Mangroves,-7.171913002675363e-14,NA
Argentina,ARG,South America,Ports,0.08709356926737771,Q2 (0.08 - 0.35)
Angola,AGO,Africa,Corals,NA,NA
Angola,AGO,Africa,Fisheries & Mariculture,0.0011926287298799237,Q1 (0 - 0.08)
Angola,AGO,Africa,Mangroves,0.3906756704942023,Q3 (0.35 - 1.9)
Angola,AGO,Africa,Ports,0.5035223724732996,Q3 (0.35 - 1.9)
Algeria,DZA,Africa,Corals,NA,NA
Algeria,DZA,Africa,Fisheries & Mariculture,3.1124211932384664,Q4 (1.9 - 20.5)
Algeria,DZA,Africa,Mangroves,NA,NA
Algeria,DZA,Africa,Ports,0.104392698720884,Q2 (0.08 - 0.35)
Albania,ALB,Europe,Corals,NA,NA
Albania,ALB,Europe,Fisheries & Mariculture,0.007464665803184075,Q1 (0 - 0.08)
Albania,ALB,Europe,Mangroves,NA,NA
Albania,ALB,Europe,Ports,0.04075905672673982,Q1 (0 - 0.08)
France,-99,Europe,Corals,NA,NA
France,-99,Europe,Fisheries & Mariculture,NA,NA
France,-99,Europe,Mangroves,NA,NA
France,-99,Europe,Ports,NA,NA
Papua New Guinea,PNG,Oceania,Corals,NA,NA
Papua New Guinea,PNG,Oceania,Fisheries & Mariculture,NA,NA
Papua New Guinea,PNG,Oceania,Mangroves,NA,NA
Papua New Guinea,PNG,Oceania,Ports,NA,NA
Afghanistan,AFG,Asia,Corals,NA,NA
Afghanistan,AFG,Asia,Fisheries & Mariculture,NA,NA
Afghanistan,AFG,Asia,Mangroves,NA,NA
Afghanistan,AFG,Asia,Ports,NA,NA
Cuba,CUB,North America,Corals,NA,NA
Cuba,CUB,North America,Fisheries & Mariculture,NA,NA
Cuba,CUB,North America,Mangroves,NA,NA
Cuba,CUB,North America,Ports,NA,NA
Greenland,GRL,North America,Corals,NA,NA
Greenland,GRL,North America,Fisheries & Mariculture,NA,NA
Greenland,GRL,North America,Mangroves,NA,NA
Greenland,GRL,North America,Ports,NA,NA
New Caledonia,NCL,Oceania,Corals,NA,NA
New Caledonia,NCL,Oceania,Fisheries & Mariculture,NA,NA
New Caledonia,NCL,Oceania,Mangroves,NA,NA
New Caledonia,NCL,Oceania,Ports,NA,NA
Guinea,GIN,Africa,Corals,NA,NA
Guinea,GIN,Africa,Fisheries & Mariculture,NA,NA
Guinea,GIN,Africa,Mangroves,NA,NA
Guinea,GIN,Africa,Ports,NA,NA
Libya,LBY,Africa,Corals,NA,NA
Libya,LBY,Africa,Fisheries & Mariculture,NA,NA
Libya,LBY,Africa,Mangroves,NA,NA
Libya,LBY,Africa,Ports,NA,NA
North Korea,PRK,Asia,Corals,NA,NA
North Korea,PRK,Asia,Fisheries & Mariculture,NA,NA
North Korea,PRK,Asia,Mangroves,NA,NA
North Korea,PRK,Asia,Ports,NA,NA
Norway,-99,Europe,Corals,NA,NA
Norway,-99,Europe,Fisheries & Mariculture,NA,NA
Norway,-99,Europe,Mangroves,NA,NA
Norway,-99,Europe,Ports,NA,NA
S. Sudan,SSD,Africa,Corals,NA,NA
S. Sudan,SSD,Africa,Fisheries & Mariculture,NA,NA
S. Sudan,SSD,Africa,Mangroves,NA,NA
S. Sudan,SSD,Africa,Ports,NA,NA
Syria,SYR,Asia,Corals,NA,NA
Syria,SYR,Asia,Fisheries & Mariculture,NA,NA
Syria,SYR,Asia,Mangroves,NA,NA
Syria,SYR,Asia,Ports,NA,NA
Taiwan,TWN,Asia,Corals,NA,NA
Taiwan,TWN,Asia,Fisheries & Mariculture,NA,NA
Taiwan,TWN,Asia,Mangroves,NA,NA
Taiwan,TWN,Asia,Ports,NA,NA
Zimbabwe,ZWE,Africa,Corals,NA,NA
Zimbabwe,ZWE,Africa,Fisheries & Mariculture,NA,NA
Zimbabwe,ZWE,Africa,Mangroves,NA,NA
Zimbabwe,ZWE,Africa,Ports,NA,NA
Eritrea,ERI,Africa,Corals,NA,NA
Eritrea,ERI,Africa,Fisheries & Mariculture,NA,NA
Eritrea,ERI,Africa,Mangroves,NA,NA
Eritrea,ERI,Africa,Ports,NA,NA
Laos,LAO,Asia,Corals,NA,NA
Laos,LAO,Asia,Fisheries & Mariculture,NA,NA
Laos,LAO,Asia,Mangroves,NA,NA
Laos,LAO,Asia,Ports,NA,NA
Liberia,LBR,Africa,Corals,NA,NA
Liberia,LBR,Africa,Fisheries & Mariculture,NA,NA
Liberia,LBR,Africa,Mangroves,NA,NA
Liberia,LBR,Africa,Ports,NA,NA
Samoa,WSM,Oceania,Corals,NA,NA
Samoa,WSM,Oceania,Fisheries & Mariculture,NA,NA
Samoa,WSM,Oceania,Mangroves,NA,NA
Samoa,WSM,Oceania,Ports,NA,NA
Vanuatu,VUT,Oceania,Corals,NA,NA
Vanuatu,VUT,Oceania,Fisheries & Mariculture,NA,NA
Vanuatu,VUT,Oceania,Mangroves,NA,NA
Vanuatu,VUT,Oceania,Ports,NA,NA
Palestine,PSE,Asia,Corals,NA,NA
Palestine,PSE,Asia,Fisheries & Mariculture,NA,NA
Palestine,PSE,Asia,Mangroves,NA,NA
Palestine,PSE,Asia,Ports,NA,NA
Siachen Glacier,-99,Asia,Corals,NA,NA
Siachen Glacier,-99,Asia,Fisheries & Mariculture,NA,NA
Siachen Glacier,-99,Asia,Mangroves,NA,NA
Siachen Glacier,-99,Asia,Ports,NA,NA
Somaliland,-99,Africa,Corals,NA,NA
Somaliland,-99,Africa,Fisheries & Mariculture,NA,NA
Somaliland,-99,Africa,Mangroves,NA,NA
Somaliland,-99,Africa,Ports,NA,NA
Cayman Is.,CYM,North America,Corals,NA,NA
Cayman Is.,CYM,North America,Fisheries & Mariculture,NA,NA
Cayman Is.,CYM,North America,Mangroves,NA,NA
Cayman Is.,CYM,North America,Ports,NA,NA
Falkland Is.,FLK,South America,Corals,NA,NA
Falkland Is.,FLK,South America,Fisheries & Mariculture,NA,NA
Falkland Is.,FLK,South America,Mangroves,NA,NA
Falkland Is.,FLK,South America,Ports,NA,NA
Puerto Rico,PRI,North America,Corals,NA,NA
Puerto Rico,PRI,North America,Fisheries & Mariculture,NA,NA
Puerto Rico,PRI,North America,Mangroves,NA,NA
Puerto Rico,PRI,North America,Ports,NA,NA
Antigua and Barb.,ATG,North America,Corals,NA,NA
Antigua and Barb.,ATG,North America,Fisheries & Mariculture,NA,NA
Antigua and Barb.,ATG,North America,Mangroves,NA,NA
Antigua and Barb.,ATG,North America,Ports,NA,NA
Brunei,BRN,Asia,Corals,NA,NA
Brunei,BRN,Asia,Fisheries & Mariculture,NA,NA
Brunei,BRN,Asia,Mangroves,NA,NA
Brunei,BRN,Asia,Ports,NA,NA
Burundi,BDI,Africa,Corals,NA,NA
Burundi,BDI,Africa,Fisheries & Mariculture,NA,NA
Burundi,BDI,Africa,Mangroves,NA,NA
Burundi,BDI,Africa,Ports,NA,NA
Dominica,DMA,North America,Corals,NA,NA
Dominica,DMA,North America,Fisheries & Mariculture,NA,NA
Dominica,DMA,North America,Mangroves,NA,NA
Dominica,DMA,North America,Ports,NA,NA
Fiji,FJI,Oceania,Corals,NA,NA
Fiji,FJI,Oceania,Fisheries & Mariculture,NA,NA
Fiji,FJI,Oceania,Mangroves,NA,NA
Fiji,FJI,Oceania,Ports,NA,NA
Grenada,GRD,North America,Corals,NA,NA
Grenada,GRD,North America,Fisheries & Mariculture,NA,NA
Grenada,GRD,North America,Mangroves,NA,NA
Grenada,GRD,North America,Ports,NA,NA
Kosovo,-99,Europe,Corals,NA,NA
Kosovo,-99,Europe,Fisheries & Mariculture,NA,NA
Kosovo,-99,Europe,Mangroves,NA,NA
Kosovo,-99,Europe,Ports,NA,NA
Liechtenstein,LIE,Europe,Corals,NA,NA
Liechtenstein,LIE,Europe,Fisheries & Mariculture,NA,NA
Liechtenstein,LIE,Europe,Mangroves,NA,NA
Liechtenstein,LIE,Europe,Ports,NA,NA
N. Cyprus,-99,Asia,Corals,NA,NA
N. Cyprus,-99,Asia,Fisheries & Mariculture,NA,NA
N. Cyprus,-99,Asia,Mangroves,NA,NA
N. Cyprus,-99,Asia,Ports,NA,NA
Saint Lucia,LCA,North America,Corals,NA,NA
Saint Lucia,LCA,North America,Fisheries & Mariculture,NA,NA
Saint Lucia,LCA,North America,Mangroves,NA,NA
Saint Lucia,LCA,North America,Ports,NA,NA
St. Vin. and Gren.,VCT,North America,Corals,NA,NA
St. Vin. and Gren.,VCT,North America,Fisheries & Mariculture,NA,NA
St. Vin. and Gren.,VCT,North America,Mangroves,NA,NA
St. Vin. and Gren.,VCT,North America,Ports,NA,NA
São Tomé and Principe,STP,Africa,Corals,NA,NA
São Tomé and Principe,STP,Africa,Fisheries & Mariculture,NA,NA
São Tomé and Principe,STP,Africa,Mangroves,NA,NA
São Tomé and Principe,STP,Africa,Ports,NA,NA
Seychelles,SYC,Seven seas (open ocean),Corals,NA,NA
Seychelles,SYC,Seven seas (open ocean),Fisheries & Mariculture,NA,NA
Seychelles,SYC,Seven seas (open ocean),Mangroves,NA,NA
Seychelles,SYC,Seven seas (open ocean),Ports,NA,NA
Somalia,SOM,Africa,Corals,NA,NA
Somalia,SOM,Africa,Fisheries & Mariculture,NA,NA
Somalia,SOM,Africa,Mangroves,NA,NA
Somalia,SOM,Africa,Ports,NA,NA
Anguilla,AIA,North America,Corals,NA,NA
Anguilla,AIA,North America,Fisheries & Mariculture,NA,NA
Anguilla,AIA,North America,Mangroves,NA,NA
Anguilla,AIA,North America,Ports,NA,NA
W. Sahara,ESH,Africa,Corals,NA,NA
W. Sahara,ESH,Africa,Fisheries & Mariculture,NA,NA
W. Sahara,ESH,Africa,Mangroves,NA,NA
W. Sahara,ESH,Africa,Ports,NA,NA
Macao,MAC,Asia,Corals,NA,NA
Macao,MAC,Asia,Fisheries & Mariculture,NA,NA
Macao,MAC,Asia,Mangroves,NA,NA
Macao,MAC,Asia,Ports,NA,NA
Fr. Polynesia,PYF,Oceania,Corals,NA,NA
Fr. Polynesia,PYF,Oceania,Fisheries & Mariculture,NA,NA
Fr. Polynesia,PYF,Oceania,Mangroves,NA,NA
Fr. Polynesia,PYF,Oceania,Ports,NA,NA
Wallis and Futuna Is.,WLF,Oceania,Corals,NA,NA
Wallis and Futuna Is.,WLF,Oceania,Fisheries & Mariculture,NA,NA
Wallis and Futuna Is.,WLF,Oceania,Mangroves,NA,NA
Wallis and Futuna Is.,WLF,Oceania,Ports,NA,NA
Cook Is.,COK,Oceania,Corals,NA,NA
Cook Is.,COK,Oceania,Fisheries & Mariculture,NA,NA
Cook Is.,COK,Oceania,Mangroves,NA,NA
Cook Is.,COK,Oceania,Ports,NA,NA
Niue,NIU,Oceania,Corals,NA,NA
Niue,NIU,Oceania,Fisheries & Mariculture,NA,NA
Niue,NIU,Oceania,Mangroves,NA,NA
Niue,NIU,Oceania,Ports,NA,NA
Tonga,TON,Oceania,Corals,NA,NA
Tonga,TON,Oceania,Fisheries & Mariculture,NA,NA
Tonga,TON,Oceania,Mangroves,NA,NA
Tonga,TON,Oceania,Ports,NA,NA
Pitcairn Is.,PCN,Oceania,Corals,NA,NA
Pitcairn Is.,PCN,Oceania,Fisheries & Mariculture,NA,NA
Pitcairn Is.,PCN,Oceania,Mangroves,NA,NA
Pitcairn Is.,PCN,Oceania,Ports,NA,NA
S. Geo. and the Is.,SGS,Seven seas (open ocean),Corals,NA,NA
S. Geo. and the Is.,SGS,Seven seas (open ocean),Fisheries & Mariculture,NA,NA
S. Geo. and the Is.,SGS,Seven seas (open ocean),Mangroves,NA,NA
S. Geo. and the Is.,SGS,Seven seas (open ocean),Ports,NA,NA
American Samoa,ASM,Oceania,Corals,NA,NA
American Samoa,ASM,Oceania,Fisheries & Mariculture,NA,NA
American Samoa,ASM,Oceania,Mangroves,NA,NA
American Samoa,ASM,Oceania,Ports,NA,NA
Aruba,ABW,North America,Corals,NA,NA
Aruba,ABW,North America,Fisheries & Mariculture,NA,NA
Aruba,ABW,North America,Mangroves,NA,NA
Aruba,ABW,North America,Ports,NA,NA
Curaçao,CUW,North America,Corals,NA,NA
Curaçao,CUW,North America,Fisheries & Mariculture,NA,NA
Curaçao,CUW,North America,Mangroves,NA,NA
Curaçao,CUW,North America,Ports,NA,NA
Br. Indian Ocean Ter.,IOT,Seven seas (open ocean),Corals,NA,NA
Br. Indian Ocean Ter.,IOT,Seven seas (open ocean),Fisheries & Mariculture,NA,NA
Br. Indian Ocean Ter.,IOT,Seven seas (open ocean),Mangroves,NA,NA
Br. Indian Ocean Ter.,IOT,Seven seas (open ocean),Ports,NA,NA
Andorra,AND,Europe,Corals,NA,NA
Andorra,AND,Europe,Fisheries & Mariculture,NA,NA
Andorra,AND,Europe,Mangroves,NA,NA
Andorra,AND,Europe,Ports,NA,NA
Faeroe Is.,FRO,Europe,Corals,NA,NA
Faeroe Is.,FRO,Europe,Fisheries & Mariculture,NA,NA
Faeroe Is.,FRO,Europe,Mangroves,NA,NA
Faeroe Is.,FRO,Europe,Ports,NA,NA
Micronesia,FSM,Oceania,Corals,NA,NA
Micronesia,FSM,Oceania,Fisheries & Mariculture,NA,NA
Micronesia,FSM,Oceania,Mangroves,NA,NA
Micronesia,FSM,Oceania,Ports,NA,NA
Åland,ALA,Europe,Corals,NA,NA
Åland,ALA,Europe,Fisheries & Mariculture,NA,NA
Åland,ALA,Europe,Mangroves,NA,NA
Åland,ALA,Europe,Ports,NA,NA
Fr. S. Antarctic Lands,ATF,Seven seas (open ocean),Corals,NA,NA
Fr. S. Antarctic Lands,ATF,Seven seas (open ocean),Fisheries & Mariculture,NA,NA
Fr. S. Antarctic Lands,ATF,Seven seas (open ocean),Mangroves,NA,NA
Fr. S. Antarctic Lands,ATF,Seven seas (open ocean),Ports,NA,NA
St-Barthélemy,BLM,North America,Corals,NA,NA
St-Barthélemy,BLM,North America,Fisheries & Mariculture,NA,NA
St-Barthélemy,BLM,North America,Mangroves,NA,NA
St-Barthélemy,BLM,North America,Ports,NA,NA
St-Martin,MAF,North America,Corals,NA,NA
St-Martin,MAF,North America,Fisheries & Mariculture,NA,NA
St-Martin,MAF,North America,Mangroves,NA,NA
St-Martin,MAF,North America,Ports,NA,NA
Nauru,NRU,Oceania,Corals,NA,NA
Nauru,NRU,Oceania,Fisheries & Mariculture,NA,NA
Nauru,NRU,Oceania,Mangroves,NA,NA
Nauru,NRU,Oceania,Ports,NA,NA
Sint Maarten,SXM,North America,Corals,NA,NA
Sint Maarten,SXM,North America,Fisheries & Mariculture,NA,NA
Sint Maarten,SXM,North America,Mangroves,NA,NA
Sint Maarten,SXM,North America,Ports,NA,NA
St. Kitts and Nevis,KNA,North America,Corals,NA,NA
St. Kitts and Nevis,KNA,North America,Fisheries & Mariculture,NA,NA
St. Kitts and Nevis,KNA,North America,Mangroves,NA,NA
St. Kitts and Nevis,KNA,North America,Ports,NA,NA
San Marino,SMR,Europe,Corals,NA,NA
San Marino,SMR,Europe,Fisheries & Mariculture,NA,NA
San Marino,SMR,Europe,Mangroves,NA,NA
San Marino,SMR,Europe,Ports,NA,NA
Isle of Man,IMN,Europe,Corals,NA,NA
Isle of Man,IMN,Europe,Fisheries & Mariculture,NA,NA
Isle of Man,IMN,Europe,Mangroves,NA,NA
Isle of Man,IMN,Europe,Ports,NA,NA
Bermuda,BMU,North America,Corals,NA,NA
Bermuda,BMU,North America,Fisheries & Mariculture,NA,NA
Bermuda,BMU,North America,Mangroves,NA,NA
Bermuda,BMU,North America,Ports,NA,NA
British Virgin Is.,VGB,North America,Corals,NA,NA
British Virgin Is.,VGB,North America,Fisheries & Mariculture,NA,NA
British Virgin Is.,VGB,North America,Mangroves,NA,NA
British Virgin Is.,VGB,North America,Ports,NA,NA
Montserrat,MSR,North America,Corals,NA,NA
Montserrat,MSR,North America,Fisheries & Mariculture,NA,NA
Montserrat,MSR,North America,Mangroves,NA,NA
Montserrat,MSR,North America,Ports,NA,NA
Saint Helena,SHN,Seven seas (open ocean),Corals,NA,NA
Saint Helena,SHN,Seven seas (open ocean),Fisheries & Mariculture,NA,NA
Saint Helena,SHN,Seven seas (open ocean),Mangroves,NA,NA
Saint Helena,SHN,Seven seas (open ocean),Ports,NA,NA
Turks and Caicos Is.,TCA,North America,Corals,NA,NA
Turks and Caicos Is.,TCA,North America,Fisheries & Mariculture,NA,NA
Turks and Caicos Is.,TCA,North America,Mangroves,NA,NA
Turks and Caicos Is.,TCA,North America,Ports,NA,NA
Guam,GUM,Oceania,Corals,NA,NA
Guam,GUM,Oceania,Fisheries & Mariculture,NA,NA
Guam,GUM,Oceania,Mangroves,NA,NA
Guam,GUM,Oceania,Ports,NA,NA
N. Mariana Is.,MNP,Oceania,Corals,NA,NA
N. Mariana Is.,MNP,Oceania,Fisheries & Mariculture,NA,NA
N. Mariana Is.,MNP,Oceania,Mangroves,NA,NA
N. Mariana Is.,MNP,Oceania,Ports,NA,NA
U.S. Virgin Is.,VIR,North America,Corals,NA,NA
U.S. Virgin Is.,VIR,North America,Fisheries & Mariculture,NA,NA
U.S. Virgin Is.,VIR,North America,Mangroves,NA,NA
U.S. Virgin Is.,VIR,North America,Ports,NA,NA
St. Pierre and Miquelon,SPM,North America,Corals,NA,NA
St. Pierre and Miquelon,SPM,North America,Fisheries & Mariculture,NA,NA
St. Pierre and Miquelon,SPM,North America,Mangroves,NA,NA
St. Pierre and Miquelon,SPM,North America,Ports,NA,NA
Turkmenistan,TKM,Asia,Corals,NA,NA
Turkmenistan,TKM,Asia,Fisheries & Mariculture,NA,NA
Turkmenistan,TKM,Asia,Mangroves,NA,NA
Turkmenistan,TKM,Asia,Ports,NA,NA
Palau,PLW,Oceania,Corals,NA,NA
Palau,PLW,Oceania,Fisheries & Mariculture,NA,NA
Palau,PLW,Oceania,Mangroves,NA,NA
Palau,PLW,Oceania,Ports,NA,NA
Guernsey,GGY,Europe,Corals,NA,NA
Guernsey,GGY,Europe,Fisheries & Mariculture,NA,NA
Guernsey,GGY,Europe,Mangroves,NA,NA
Guernsey,GGY,Europe,Ports,NA,NA
Jersey,JEY,Europe,Corals,NA,NA
Jersey,JEY,Europe,Fisheries & Mariculture,NA,NA
Jersey,JEY,Europe,Mangroves,NA,NA
Jersey,JEY,Europe,Ports,NA,NA
Venezuela,VEN,South America,Corals,NA,NA
Venezuela,VEN,South America,Fisheries & Mariculture,NA,NA
Venezuela,VEN,South America,Mangroves,NA,NA
Venezuela,VEN,South America,Ports,NA,NA
Ashmore and Cartier Is.,-99,Oceania,Corals,NA,NA
Ashmore and Cartier Is.,-99,Oceania,Fisheries & Mariculture,NA,NA
