year,country,YNET,pop,capital,variable,value,CPC
2030,aus,2.539893488378035,33.290315,Corals,Market,-239.6520952039123,58814.88203595549
2035,aus,2.75220907467629,33.85498,Corals,Market,-609.3934775716259,62617.940845988735
2040,aus,2.9613379209999398,34.32925299999999,Corals,Market,-1002.5824482816266,66391.66263704035
2045,aus,3.1638926693614557,34.697285,Corals,Market,-1424.3773733910075,70123.87481842496
2050,aus,3.3571881248185558,34.930598,Corals,Market,-1900.0741173805127,73851.40439979927
2055,aus,3.5403060741582193,35.02683,Corals,Market,-2294.280936379391,77602.95117981447
2060,aus,3.7135242961675776,35.013541,Corals,Market,-2787.6259931731984,81364.9523600343
2065,aus,3.876094331336857,34.921482,Corals,Market,-3130.7387427416393,85081.94390119465
2070,aus,4.037296979935233,34.83425589293856,Corals,Market,-3644.1541753204465,88770.40466684739
2075,aus,4.196366670532069,34.751827038144256,Corals,Market,-3964.879703732412,92411.88968896322
2080,aus,4.352518323081721,34.67416178062263,Corals,Market,-4441.719155669809,95987.44660203859
2085,aus,4.50495336869886,34.60122842813795,Corals,Market,-4775.624637707853,99477.7689354704
2090,aus,4.652866180594523,34.53299722964536,Corals,Market,-5217.432184572434,102863.36041729419
2095,aus,4.795450849712881,34.4694403550529,Corals,Market,-5610.195989276204,106124.70849261219
2100,aus,4.931908230417701,34.41053187629407,Corals,Market,-6011.595219464458,109242.46502984481
2030,bgd,5.431266203943127,198.396591,Corals,Market,-0.19432698278368715,19377.9804637818
2035,bgd,6.08302615019111,196.092233,Corals,Market,-0.5107429200445278,21980.76748357563
2040,bgd,6.733893590787288,193.032804,Corals,Market,-0.864499350544526,24743.445400347304
2045,bgd,7.356824065678982,189.393574,Corals,Market,-1.2559142461105632,27579.80600023973
2050,bgd,7.9402226954069155,185.262633,Corals,Market,-1.7040951462246121,30461.516001319338
2055,bgd,8.492422097392724,180.753927,Corals,Market,-2.086909665810262,33426.47900131908
2060,bgd,9.02377072078885,176.005054,Corals,Market,-2.5686360911060238,36513.15908297484
2065,bgd,9.541193178411053,171.297294,Corals,Market,-2.9222776156675105,39707.992565998
2070,bgd,10.060930036426056,166.94454841712957,Corals,Market,-3.443582302890221,43006.13739144765
2075,bgd,10.58013383446557,162.92567870597568,Corals,Market,-3.790653083792079,46387.881163981736
2080,bgd,11.095798423803018,159.22145130232897,Corals,Market,-4.293735996847112,49830.79478300435
2085,bgd,11.604784342649396,155.81438377762913,Corals,Market,-4.6649098021429944,53309.89670475275
2090,bgd,12.103847557507795,152.68860681823722,Corals,Market,-5.146666042745869,56797.885163595696
2095,bgd,12.589671269187816,149.82974049872666,Corals,Market,-5.585078378143955,60265.4377186935
2100,bgd,13.058900403294526,147.22478349314724,Corals,Market,-6.0359779653490975,63681.57542492825
2030,bhr,0.1743548659803165,2.302458,Corals,Market,-0.5850364235546972,54452.93165277931
2035,bhr,0.18464944107622103,2.306893,Corals,Market,-1.4539433453087736,57595.72828508418
2040,bhr,0.19355693952023992,2.290422,Corals,Market,-2.330365185104324,60849.02034895949
2045,bhr,0.2013125238598326,2.257669,Corals,Market,-3.222977139592961,64248.24999214608
2050,bhr,0.20839990242432657,2.215613,Corals,Market,-4.194454451415773,67817.94403719515
2055,bhr,0.2154213207620941,2.170595,Corals,Market,-4.964523582960749,71604.60268651733
2060,bhr,0.22257465955331468,2.124603,Corals,Market,-5.941649937806592,75634.30620431488
2065,bhr,0.22945555392979544,2.07402,Corals,Market,-6.5907398814216425,79927.49236148191
2070,bhr,0.23619449025868208,2.02711022627898,Corals,Market,-7.5815659268848306,84234.96735238584
2075,bhr,0.2427662464897577,1.9836745420978494,Corals,Market,-8.156953700858251,88533.4045409614
2080,bhr,0.24914559608903228,1.9435309585867202,Corals,Market,-9.041631637687633,92798.3188525213
2085,bhr,0.25530746387575876,1.9065133599188495,Corals,Market,-9.624684524660704,97004.28029211539
2090,bhr,0.2612270855073785,1.8724703533131064,Corals,Market,-10.416877652079512,101125.15138422877
2095,bhr,0.266880169246029,1.8412642326792064,Corals,Market,-11.103195868612628,105134.34574175545
2100,bhr,0.27224305857331826,1.8127700459332363,Corals,Market,-11.800887394456096,109005.10442740805
2030,bhs,0.020906657093800823,0.445260999999999,Corals,Market,-5.145175907178971,39164.98519831732
2035,bhs,0.02234354837628066,0.442368,Corals,Market,-12.90382395108184,42031.190573617576
2040,bhs,0.0238225682479904,0.438442999999999,Corals,Market,-21.03636099209584,45107.783690214404
2045,bhs,0.025328320624502392,0.433284,Corals,Market,-29.741277882700512,48415.024616195544
2050,bhs,0.026849852072616864,0.426799,Corals,Market,-39.63571224930143,51979.588241288606
2055,bhs,0.028361962036230825,0.419049,Corals,Market,-47.93933036063876,55789.343626982096
2060,bhs,0.029862505787165296,0.4103,Corals,Market,-58.46882797085433,59850.461997013634
2065,bhs,0.031356845145867736,0.400918,Corals,Market,-66.05942007508126,64162.32448077558
2070,bhs,0.0328475063713577,0.39220890411357545,Corals,Market,-77.33184235516737,68540.33955733053
2075,bhs,0.03432684604098251,0.38413741119484723,Corals,Market,-84.59416226889842,72956.51795953912
2080,bhs,0.03578692323092229,0.37667121423395145,Corals,Market,-95.25433609917314,77380.53328951352
2085,bhs,0.03721956410284305,0.3697807841448597,Corals,Market,-102.91082798842737,81780.01575707347
2090,bhs,0.03861643263630678,0.36343917437728646,Corals,Market,-112.94273695274524,86120.90314315366
2095,bhs,0.03996910675262763,0.35762184453618145,Corals,Market,-121.96155065594863,90367.8448819922
2100,bhs,0.04126915894368975,0.3523065013859621,Corals,Market,-131.20496425803108,94484.65351995622
2030,blz,0.017138658141188146,0.591210999999999,Corals,Market,-3.4680383176175833,25170.84007601416
2035,blz,0.02025287439479687,0.599851999999999,Corals,Market,-9.617105801616026,29225.16403332586
2040,blz,0.023663988067132453,0.605154,Corals,Market,-17.181513297992264,33742.9636927717
2045,blz,0.027305697098040805,0.607607,Corals,Market,-26.3631886720614,38657.54421786719
2050,blz,0.03113980471033504,0.607429999999999,Corals,Market,-37.79654425065312,43960.40847613287
2055,blz,0.03513754542983736,0.604987000000001,Corals,Market,-48.83357868033456,49647.967810435126
2060,blz,0.03928703581475631,0.600637,Corals,Market,-63.24684179129799,55736.92403833945
2065,blz,0.043569790511193994,0.594581,Corals,Market,-75.4708614457054,62245.167725053914
2070,blz,0.04808193516684422,0.5888858073808309,Corals,Market,-93.07420380625416,69135.81124038399
2075,blz,0.05279928826923946,0.5835420420041584,Corals,Market,-106.98576587529287,76370.34504907388
2080,blz,0.057691676708504495,0.5785409498046759,Corals,Market,-126.25976998039962,83899.63945462562
2085,blz,0.06272294046754655,0.5738743788248434,Corals,Market,-142.59609735881918,91663.9072150623
2090,blz,0.06785110098457522,0.5695347570089673,Corals,Market,-163.16781406681403,99592.98127734939
2095,blz,0.07302870552412943,0.565515071671713,Corals,Market,-183.22449668917068,107606.93336411775
2100,blz,0.07820335452212006,0.5618088505629093,Corals,Market,-204.42851386782993,115617.04776277348
2030,bra,8.683643794732223,219.98681,Corals,Market,-3.757145643801236,32711.538726502422
2035,bra,9.736283529240387,215.662394,Corals,Market,-9.88552858562352,37328.75592121326
2040,bra,10.81008624586627,210.670582,Corals,Market,-16.782304357122857,42332.79313392043
2045,bra,11.876980385685131,205.115032,Corals,Market,-24.51882578950496,47663.39358409413
2050,bra,12.937228299714956,199.309975,Corals,Market,-33.57580320032112,53310.305653847274
2055,bra,13.989430782526474,193.427095,Corals,Market,-41.57154208205357,59265.51321241279
2060,bra,15.033500383780359,187.625721,Corals,Market,-51.748605785322205,65509.63643229593
2065,bra,16.069087302119286,182.011177,Corals,Market,-59.51603696356258,72018.90480925808
2070,bra,17.120664736925555,176.83697024148006,Corals,Market,-70.86258212262392,78797.89089469322
2075,bra,18.18209037859181,172.074440613558,Corals,Market,-78.77541559970057,85803.67949796314
2080,bra,19.246697043302742,167.6976334998618,Corals,Market,-90.06519675366712,92985.8611103535
2085,bra,20.307348371094957,163.68306348478015,Corals,Market,-98.71505869242928,100286.8579149938
2090,bra,21.35650644052634,160.00950360280336,Corals,Market,-109.8137611472488,107642.46049560749
2095,bra,22.386310723537115,156.65779747463733,Corals,Market,-120.09403076996625,114982.57781246149
2100,bra,23.388667490968032,153.61069199296466,Corals,Market,-130.72857521222392,122232.19572083319
2030,brb,0.0107337268311372,0.274003999999999,Corals,Market,-0.31114065203973845,34151.93748244334
2035,brb,0.011900591666986203,0.27208,Corals,Market,-0.8095159804711607,38011.29378758829
2040,brb,0.013127088318563742,0.270097,Corals,Market,-1.3653406796563237,42102.11992443791
2045,brb,0.01440287057178443,0.267976,Corals,Market,-1.9920162431104802,46410.75588963448
2050,brb,0.015723329658555676,0.265513,Corals,Market,-2.7338827032378257,50971.79397255268
2055,brb,0.017085737940618618,0.262778,Corals,Market,-3.4015747622526167,55784.96189491746
2060,brb,0.018486991553747615,0.25977,Corals,Market,-4.2633891144357285,60862.0176079344
2065,brb,0.019915615605957063,0.256305,Corals,Market,-4.941817677684454,66236.57975565802
2070,brb,0.021377688600212733,0.25305715774050125,Corals,Market,-5.927987589687215,71777.92991083991
2075,brb,0.022864496879618525,0.25001924440788487,Corals,Market,-6.636799979150898,77449.74231800878
2080,brb,0.024366366698490106,0.24718454763923445,Corals,Market,-7.639092280167329,83210.77039519764
2085,brb,0.025872739541435957,0.2445468467266735,Corals,Market,-8.42602598558459,89015.18201440925
2090,brb,0.02737227035603542,0.24210038979195841,Corals,Market,-9.429476121244623,94813.02805939192
2095,brb,0.028852948192467892,0.23983987281370692,Corals,Market,-10.370012470249021,100550.84258939647
2100,brb,0.030302238098253678,0.23776042039986134,Corals,Market,-11.34723223262896,106172.36858932246
2030,chn,60.882906835826795,1146.749636,Corals,Market,-3.715593053885118,30524.87998773806
2035,chn,63.27248731758661,1091.65903,Corals,Market,-9.061463047692056,33529.5100896665
2040,chn,65.05110143821298,1038.70914,Corals,Market,-14.244716851647675,36451.53219971716
2045,chn,66.35896166699999,986.647114,Corals,Market,-19.32279485242757,39385.14530505794
2050,chn,67.32197501184746,935.604942999999,Corals,Market,-24.644428384469077,42391.88683171695
2055,chn,68.10119633613381,887.408687000001,Corals,Market,-28.54483682628419,45483.869315166194
2060,chn,68.73471037814025,842.783736000001,Corals,Market,-33.3727027350349,48627.13275308133
2065,chn,69.093767985319,800.2158090000011,Corals,Market,-36.095944015026134,51787.79658211562
2070,chn,69.43665458110044,761.8188272449213,Corals,Market,-40.53795829591901,54991.371472581865
2075,chn,69.76310657335446,727.1881833962738,Corals,Market,-42.6333475907535,58221.477221564135
2080,chn,70.07287187070006,695.9682412494976,Corals,Market,-46.251672448675315,61460.57616277974
2085,chn,70.36571020595885,667.8462697188777,Corals,Market,-48.24674256567741,64690.11725904805
2090,chn,70.64139344585674,642.5472249797639,Corals,Market,-51.23450508322548,67890.70233593373
2095,chn,70.89970588641593,619.829258864559,Corals,Market,-53.648805908768786,71042.27260301814
2100,chn,71.14044453350388,599.4798506048857,Corals,Market,-56.0865020663611,74124.3131120858
2030,col,2.1991026775271743,57.018611,Corals,Market,-7.126731938522625,30995.67370170845
2035,col,2.4462658401896302,56.394002,Corals,Market,-18.603695427445306,34804.084063777766
2040,col,2.690811240437508,55.57219600000001,Corals,Market,-31.28920678556582,38785.665115142016
2045,col,2.9246453533371297,54.532819,Corals,Market,-45.22262055931644,42888.98325073831
2050,col,3.146550422322223,53.348143,Corals,Market,-61.16581266214571,47090.100610378286
2055,col,3.3575702387353052,52.08693,Corals,Market,-74.7325986011464,51379.88554954595
2060,col,3.559229069298789,50.81842,Corals,Market,-91.76633063568794,55733.06641865997
2065,col,3.753697337280461,49.607447,Corals,Market,-104.13361207475174,60113.319582413504
2070,col,3.948536235036359,48.48443658428588,Corals,Market,-122.41125892158911,64590.86411087553
2075,col,4.142701457045377,47.444616588673966,Corals,Market,-134.43718622200504,69137.20220641028
2080,col,4.3350971605015065,46.48362592364344,Corals,Market,-151.94573473681902,73720.88244836856
2085,col,4.524585124309597,45.59748399423072,Corals,Market,-164.73953596886136,78307.78610084811
2090,col,4.70999498737163,44.78256311537008,Corals,Market,-181.39941682592783,82861.48730144299
2095,col,4.8901354573144324,44.03556365410276,Corals,Market,-196.49371758395455,87343.68373885988
2100,col,5.063806356304529,43.3534916592201,Corals,Market,-211.9976388315185,91714.69222621302
2030,com,0.019111317642575572,1.419503,Corals,Market,-6.010729390389419,11562.26487893679
2035,com,0.02329424111578424,1.452683,Corals,Market,-17.192370636513843,13731.084327682092
2040,com,0.027779174041673647,1.477546,Corals,Market,-31.34889792243615,16052.411684095821
2045,com,0.03250147130401697,1.493277,Corals,Market,-48.77274117820871,18529.16160725333
2050,com,0.037412150700210665,1.502721,Corals,Market,-70.57946442533492,21132.694650847476
2055,com,0.04249989221540884,1.507148999999999,Corals,Market,-91.80459827286693,23865.794249741823
2060,com,0.04772297554332414,1.506713,Corals,Market,-119.41161432334627,26727.673976443253
2065,com,0.05309200874818321,1.501228,Corals,Market,-142.93956849936515,29755.197448043666
2070,com,0.05876642692736279,1.4960362190828647,Corals,Market,-176.8097260303,32951.85405949702
2075,com,0.06471674759619342,1.4911346998184112,Corals,Market,-203.81872899031814,36299.5296177001
2080,com,0.07090551534126324,1.4865206540417912,Corals,Market,-241.19112572703108,39775.43353478672
2085,com,0.07728724761073218,1.4821914602073083,Corals,Market,-273.09801597386615,43352.10327046731
2090,com,0.08380860017744517,1.4781446609035076,Corals,Market,-313.2533017328211,46997.545126632416
2095,com,0.0904087714043603,1.4743779605262366,Corals,Market,-352.55751498210833,50675.52175759012
2100,com,0.0970201571907706,1.4708892231065913,Corals,Market,-394.1917556916619,54345.99194756496
2030,cri,0.22935917494147057,5.714681,Corals,Market,-0.5001221878457474,33287.80558495974
2035,cri,0.2477531813571447,5.659395000000001,Corals,Market,-1.2677391377644895,36227.00348882983
2040,cri,0.26444808157885424,5.579778,Corals,Market,-2.069030197894633,39131.510495726456
2045,cri,0.2789683483411859,5.476208000000009,Corals,Market,-2.9023683816217174,41965.83053221795
2050,cri,0.29150864192822673,5.351755,Corals,Market,-3.812769730238303,44770.45681775918
2055,cri,0.3023171542021886,5.21436,Corals,Market,-4.527545840920828,47545.710941876154
2060,cri,0.31167058085259597,5.071476,Corals,Market,-5.40677535133204,50283.09562261774
2065,cri,0.3196599950837899,4.92783100000001,Corals,Market,-5.966711745766099,52954.36945696334
2070,cri,0.3274445004469059,4.795233434755651,Corals,Market,-6.830272420362948,55616.511463766685
2075,cri,0.33499888934744376,4.672994824918617,Corals,Market,-7.314661488842968,58254.31043839174
2080,cri,0.34229819284174623,4.560490202914771,Corals,Market,-8.072524513995647,60852.018797626675
2085,cri,0.3493178147662043,4.457152773701241,Corals,Market,-8.557657442369006,63393.50139880973
2090,cri,0.3560336669157753,4.362469138673943,Corals,Market,-9.226173070439117,65862.39647917866
2095,cri,0.3624223042591582,4.275975026191238,Corals,Market,-9.798459133174177,68242.28658846051
2100,cri,0.3684610591516766,4.197251478803027,Corals,Market,-10.379122045704742,70516.87710486464
2030,dji,0.02531570213182291,1.476122999999999,Corals,Market,-6.4664474708766715,12780.75763976315
2035,dji,0.028659421400017,1.47797,Corals,Market,-17.178840551263534,14449.322786390547
2040,dji,0.0320790667500653,1.474683999999999,Corals,Market,-29.401122121203564,16207.833628088636
2045,dji,0.035533554891101486,1.465015,Corals,Market,-43.306395036707876,18069.881929464027
2050,dji,0.038998220990272725,1.449606999999999,Corals,Market,-59.75162367048002,20040.555601037388
2055,dji,0.042518234380032424,1.428774,Corals,Market,-74.59179517240604,22165.800943154132
2060,dji,0.04610146997689381,1.403997,Corals,Market,-93.68564701986124,24455.51660916826
2065,dji,0.04972430303131712,1.376307,Corals,Market,-108.72545797697897,26905.31812576714
2070,dji,0.053436455947141526,1.3505203040252223,Corals,Market,-130.57310868225417,29463.05443423887
2075,dji,0.05721577628361261,1.3265485174070084,Corals,Market,-146.3465309366776,32113.702840701044
2080,dji,0.06103757903328317,1.3043103579380424,Corals,Market,-168.62339854281163,34839.3921740527
2085,dji,0.06487483557186356,1.2837311949846717,Corals,Market,-186.17707618501547,37619.486976791944
2090,dji,0.068698423499122,1.2647426304850011,Corals,Market,-208.5417785151092,40430.74861719144
2095,dji,0.07247743626584925,1.2472821185275749,Corals,Market,-229.54163107411804,43247.57570297637
2100,dji,0.07617954975069037,1.2312926205369676,Corals,Market,-251.3756440558361,46042.32363301129
2030,dom,0.6809607530963461,13.605327,Corals,Market,-1.7910666204809287,39168.644074088086
2035,dom,0.7479386301139422,13.592163,Corals,Market,-4.616430227222414,43015.02667173566
2040,dom,0.8153821573044928,13.539076,Corals,Market,-7.695153111188129,47025.325781606494
2045,dom,0.882151926967396,13.448394,Corals,Market,-11.070586850570084,51162.16210604921
2050,dom,0.9480605627488098,13.33164,Corals,Market,-14.957357618615124,55404.39053894581
2055,dom,1.0137698619835827,13.1934,Corals,Market,-18.31340478042308,59798.396167443
2060,dom,1.0797662058455184,13.039716,Corals,Market,-22.59445650034607,64369.94786806661
2065,dom,1.1465838162796156,12.870055,Corals,Market,-25.815600383223185,69176.89907559521
2070,dom,1.2139885848618184,12.710974151821462,Corals,Market,-30.54531309959542,74077.28141296539
2075,dom,1.281599734670028,12.562128814467876,Corals,Market,-33.75459700371364,79040.82625316267
2080,dom,1.3490110100359611,12.42319880738239,Corals,Market,-38.37513476641377,84034.35178225745
2085,dom,1.415794127827137,12.293887259010674,Corals,Market,-41.83732639106261,89022.05564155383
2090,dom,1.4815027830729903,12.173919546164148,Corals,Market,-46.308706962643626,93965.87790872049
2095,dom,1.5456771688764623,12.063042318862172,Corals,Market,-50.40705370224433,98825.93114700189
2100,dom,1.607848956934873,11.961022605790253,Corals,Market,-54.63160051869416,103560.9922515327
2030,ecu,0.5029045386766711,22.148377,Corals,Market,-0.8585338073031773,16734.712432516106
2035,ecu,0.5704417424566508,22.127966,Corals,Market,-2.2852504212044327,19002.181120772424
2040,ecu,0.6411964504159533,22.007437,Corals,Market,-3.9276190666935396,21479.013453889704
2045,ecu,0.7135974906578656,21.799422,Corals,Market,-5.8124972293327275,24135.70851230113
2050,ecu,0.7870971518596169,21.515577,Corals,Market,-8.059893912508851,26976.52972318404
2055,ecu,0.8614339718277071,21.174346,Corals,Market,-10.100291357374036,30004.17844557357
2060,ecu,0.9365064040833166,20.79176,Corals,Market,-12.719355565622488,33223.7196352561
2065,ecu,1.0123144486264453,20.392899,Corals,Market,-14.793605939821912,36620.49573865117
2070,ecu,1.0901617538393031,20.021250063900457,Corals,Market,-17.803406500984646,40174.13108647005
2075,ecu,1.1695832371207153,19.675578209302113,Corals,Market,-19.99373087994807,43864.11310787882
2080,ecu,1.2500570545847094,19.354746895352772,Corals,Market,-23.080565388480874,47665.81610887961
2085,ecu,1.3310084547777865,19.057711773691988,Corals,Market,-25.528589453094156,51550.59931831889
2090,ecu,1.411815015032311,18.783515001421392,Corals,Market,-28.643109807910392,55486.01641970744
2095,ecu,1.4918132452160024,18.531280072589617,Corals,Market,-31.576876516844,59436.140869654126
2100,ecu,1.5703065036632204,18.300207128996984,Corals,Market,-34.6310208335528,63362.00760163932
2030,egy,8.708304773816822,183.488565,Corals,Market,-50.860288625211545,41111.48566788448
2035,egy,10.221131794229986,188.169675,Corals,Market,-140.08603464290738,46909.155510689074
2040,egy,11.824761942557195,192.031397,Corals,Market,-247.801545316958,53014.423644752234
2045,egy,13.504787342413586,195.18917,Corals,Market,-376.3314800387187,59383.722427524895
2050,egy,15.253836522160366,197.617954,Corals,Market,-534.3839751319439,66045.83600783128
2055,egy,17.078024452588792,199.49619,Corals,Market,-685.0509801836871,73021.2027363778
2060,egy,18.974000464772146,200.615357,Corals,Market,-881.6305226888102,80424.74696775684
2065,egy,20.92367094650616,200.998176,Corals,Market,-1046.0919163439032,88244.07097285887
2070,egy,22.966179088380404,201.36254802911262,Corals,Market,-1283.140661447911,96380.76646934982
2075,egy,25.090076648990742,201.7083683560508,Corals,Market,-1467.3646384491542,104783.93082685566
2080,egy,27.28148455108985,202.03553735979685,Corals,Market,-1723.2883857565062,113393.67720091663
2085,egy,29.52412832991326,202.34396057737354,Corals,Market,-1937.2980586532226,122141.46209957924
2090,egy,31.799438758411117,202.6335487492462,Corals,Market,-2207.166929983922,130950.66265336706
2095,egy,34.08672124470934,202.90421786232432,Corals,Market,-2468.3872417320013,139737.4105952317
2100,egy,36.36339549322331,203.1558891905347,Corals,Market,-2743.586439356576,148411.68160378007
2030,fra,3.6385550152081905,69.99743599999991,Corals,Market,-33.20984670166092,40139.04227580565
2035,fra,3.8404532458844267,70.469078,Corals,Market,-82.25665804599464,42047.4265421127
2040,fra,4.044468009811731,70.9756440000001,Corals,Market,-132.45419986557803,43928.120219539785
2045,fra,4.253221171709417,71.488333,Corals,Market,-185.22239282205499,45825.591062121595
2050,fra,4.467357212290615,71.950782,Corals,Market,-244.57819949687195,47783.158609502956
2055,fra,4.685821526752023,72.3526550000001,Corals,Market,-293.7404317701955,49799.51004897731
2060,fra,4.90428584121343,72.6900599999999,Corals,Market,-356.11987300142,51835.6255895342
2065,fra,5.114035018758679,72.904084,Corals,Market,-399.5658719700793,53848.41513719308
2070,fra,5.321818871527341,73.10800545075023,Corals,Market,-464.66325930236167,55832.801360078745
2075,fra,5.526664684096112,73.30173456560772,Corals,Market,-505.1169024069089,57779.795217030136
2080,fra,5.727576987773153,73.48518579501756,Corals,Market,-565.3971591615534,59680.277208823434
2085,fra,5.923545102423709,73.65827788936552,Corals,Market,-607.426567608665,61525.06465837806
2090,fra,6.11355116349143,73.82093395885082,Corals,Market,-663.1350776838808,63304.98228191649
2095,fra,6.296578551975396,73.97308153031699,Corals,Market,-712.5665220576493,65010.9353409309
2100,fra,6.4716206355735295,74.11465260098254,Corals,Market,-763.0622943552349,66633.98460059243
2030,gbr,4.918608630123687,75.238571,Corals,Market,-3.494201511014286,55589.25658415759
2035,gbr,5.311523605951815,75.941693,Corals,Market,-8.85473256996619,59312.48577400976
2040,gbr,5.693367969914301,76.6425889999999,Corals,Market,-14.512470077105004,62823.37932806129
2045,gbr,6.057444307650436,77.224094,Corals,Market,-20.532068664362207,66156.19136954025
2050,gbr,6.4011149388469315,77.585617,Corals,Market,-27.276613092974465,69393.16778324758
2055,gbr,6.723982300094242,77.72841199999999,Corals,Market,-32.80743688297271,72559.4886745647
2060,gbr,7.024616692208066,77.729072,Corals,Market,-39.70185704366941,75594.19391414784
2065,gbr,7.29683294598999,77.64390300000001,Corals,Market,-44.37382309132296,78392.56358264125
2070,gbr,7.565459802836363,77.56308110499685,Corals,Market,-51.413992276553216,81137.81234759963
2075,gbr,7.829317190977586,77.48659269601175,Corals,Market,-55.69554119961569,83817.0145258243
2080,gbr,8.087207032582473,77.41442488122905,Corals,Market,-62.1368169977584,86417.16367535813
2085,gbr,8.337921831516386,77.3465654923743,Corals,Market,-66.54840601319428,88925.27350992811
2090,gbr,8.580253685134057,77.28300308129451,Corals,Market,-72.43964833876119,91328.48232112346
2095,gbr,8.81300363177237,77.22372691673922,Corals,Market,-77.6269445716522,93614.15978610305
2100,gbr,9.034991237632005,77.16872698134117,Corals,Market,-82.91678095734873,95770.01496416115
2030,hnd,0.24345384846465332,14.606827,Corals,Market,-6.146223778159374,13390.658731043039
2035,hnd,0.29404346778782375,14.714894,Corals,Market,-17.42023116445015,16028.224834507546
2040,hnd,0.3504108437769002,14.74258,Corals,Market,-31.742100725983185,19033.72338232127
2045,hnd,0.4111048287970214,14.698715,Corals,Market,-49.52014419663145,22360.444487579363
2050,hnd,0.4752858050682112,14.59986,Corals,Market,-71.9740110713745,25983.623797574586
2055,hnd,0.5426042260798828,14.454841,Corals,Market,-94.0838231592732,29912.216064136057
2060,hnd,0.6127790423144325,14.275117,Corals,Market,-123.07735034136122,34149.70478355844
2065,hnd,0.6857071552051015,14.071302,Corals,Market,-148.18941029815863,38703.4724865052
2070,hnd,0.7632342230435663,13.880442247587917,Corals,Market,-184.3273927260583,43599.518033244734
2075,hnd,0.8449849112409343,13.702080269677477,Corals,Market,-213.6148983099312,48816.88168169256
2080,hnd,0.9304638165742042,13.53579189063024,Corals,Market,-254.05981351901156,54325.364063276254
2085,hnd,1.0190529693618249,13.38118454560105,Corals,Market,-289.04312346383716,60085.13792043285
2090,hnd,1.1100126850904715,13.237895730796852,Corals,Market,-333.03524052694536,66046.63361657332
2095,hnd,1.2024861337120551,13.105591582056029,Corals,Market,-376.40437707019186,72150.73819906366
2100,hnd,1.2955078837958018,12.98396557391943,Corals,Market,-422.51370670894016,78329.3381233588
2030,hti,0.17864609318157984,15.393235,Corals,Market,-1.6225469686756955,9727.885037965398
2035,hti,0.22543756035703105,15.388419,Corals,Market,-4.804859399587551,12249.604463047994
2040,hti,0.2806911188934612,15.332519,Corals,Market,-9.147424420832573,15269.939668463036
2045,hti,0.3446462454519842,15.230642,Corals,Market,-14.935332802493997,18828.132241822186
2050,hti,0.417609714879502,15.084507,Corals,Market,-22.751156912471345,22978.330087587092
2055,hti,0.5000106623607121,14.898046,Corals,Market,-31.190553413223423,27787.74995984604
2060,hti,0.5918324818497708,14.677027,Corals,Market,-42.76466375028466,33303.19478851148
2065,hti,0.692714210350181,14.434373,Corals,Market,-53.85730472625661,39536.70287570067
2070,hti,0.8048880071390647,14.207662888432793,Corals,Market,-69.93257679885308,46555.765671919864
2075,hti,0.9283666033798258,13.996258248550562,Corals,Market,-84.43337004129265,54372.824957828074
2080,hti,1.062875853763564,13.799569175096707,Corals,Market,-104.40734612862018,62979.94823656161
2085,hti,1.2078151825058958,13.61705152169925,Corals,Market,-123.24757911617293,72345.3967796112
2090,hti,1.3622251976584132,13.448204382904736,Corals,Market,-147.03583387060425,82410.69349717973
2095,hti,1.5247653517269322,13.292567794484576,Corals,Market,-171.70764532842026,93088.44734103602
2100,hti,1.693704417800728,13.149720637179364,Corals,Market,-198.7240330945061,104261.18723540947
2030,idn,11.325349788983965,308.65983,Corals,Market,-170.14010439492364,25447.54225154237
2035,idn,12.270365992471831,305.830237,Corals,Market,-432.576817271845,27867.16800641165
2040,idn,13.191854821599005,302.177569,Corals,Market,-711.094529597678,30366.85687892077
2045,idn,14.069183142501538,297.658723,Corals,Market,-1008.4666763386714,32926.53194083571
2050,idn,14.898056275732653,292.39994,Corals,Market,-1342.4985315961808,35545.663986176005
2055,idn,15.66960477460874,286.517043,Corals,Market,-1616.7883606336181,38210.2186787723
2060,idn,16.377479982556277,280.119902,Corals,Market,-1957.4228696242706,40908.33075005122
2065,idn,17.018227483498507,273.354291,Corals,Market,-2188.548420104358,43624.73984851992
2070,idn,17.650752597559134,267.0821969944035,Corals,Market,-2536.6387265627227,46376.45556267505
2075,idn,18.272258962751664,261.2765515786752,Corals,Market,-2748.768547757097,49147.90273474576
2080,idn,18.879905477203767,255.91263000807453,Corals,Market,-3067.606489467861,51922.34202518867
2085,idn,19.470826779647304,250.9678751591411,Corals,Market,-3286.3485468101626,54682.015084796556
2090,idn,20.042154768459962,246.42173883135712,Corals,Market,-3578.244457988433,57408.314855449535
2095,idn,20.591040947319364,242.25553882028615,Corals,Market,-3835.4492143037864,60081.979176753215
2100,idn,21.114679365919184,238.4523303646986,Corals,Market,-4097.779443067515,62683.305246304844
2030,ind,46.903417143230975,1612.14253,Corals,Market,-10.998853959568741,20338.699540013386
2035,ind,52.4386431461675,1594.675807,Corals,Market,-28.856592763651363,23017.83885738315
2040,ind,57.943021336136574,1570.023735,Corals,Market,-48.75402683810679,25866.821603251035
2045,ind,63.251393068489655,1539.493031,Corals,Market,-70.77023612130802,28833.83655426519
2050,ind,68.32080799596818,1504.980714,Corals,Market,-96.1003752339628,31900.193216974287
2055,ind,73.14362241270418,1468.261304,Corals,Market,-117.8038480304653,35051.35661063287
