theta,market_dollar_equivalent_loss
-0.01,60.101855279719985
0.01,55.419471032926204
0.019999999999999997,53.216906445636155
0.03,51.101879515826845
0.04,49.07091117195406
0.049999999999999996,47.120660681056634
0.060000000000000005,45.24791997890139
0.07,43.449608607273625
0.08,41.72276841034868
0.09000000000000001,40.06455893316691
0.1,38.47225253288122
0.11,36.943229983176394
0.12000000000000001,35.47497615273536
0.13,34.065075894277385
0.13999999999999999,32.711210034397816
0.15,31.411151563245816
0.16,30.162761989202664
0.16999999999999998,28.963987796148366
0.18,27.81285710628942
0.19,26.70747639909311
0.19999999999999998,25.646027406141986
0.21,24.626764127265908
0.22,23.64800994977763
0.22999999999999998,22.7081549086412
0.24,21.80565300632086
0.25,20.93901970632977
0.26,20.106829459571763
0.27,19.307713377869977
0.27999999999999997,18.54035697573073
0.29,17.803498016852082
0.3,17.09592442231679
0.31,16.416472289272118
0.32,15.764023974728422
0.33,15.137506248088672
0.34,14.535888539871424
0.35,13.958181232039122
0.36,13.403434045554494
0.37,12.870734460841147
0.38,12.359206228990308
0.39,11.868007928853208
0.4,11.396331575118609
0.41,10.943401296541625
0.42,10.508472062307609
0.43,10.09082844408989
0.44,9.689783448717886
0.45,9.304677393562347
0.46,8.934876805175357
0.47,8.579773395074493
0.48,8.238783039585147
0.49,7.911344840553102
0.5,7.596920187311589
0.51,7.294991874039924
0.52,7.005063253055
0.53,6.726657414701118
0.54,6.459316405048737
0.55,6.202600464376413
0.56,5.956087319039733
0.57,5.719371471520378
0.58,5.492063544824737
0.59,5.273789633761701
0.6,5.064190695943467
0.61,4.862921956187593
0.62,4.669652343335288
0.63,4.484063944990726
0.64,4.3058514806188715
0.65,4.134721806983906
0.66,3.970393427991985
0.67,3.812596036394766
0.68,3.66107006865105
0.6900000000000001,3.5155662745827216
0.7,3.375845313282833
0.71,3.2416773530250462
0.72,3.112841699860533
0.73,2.989126429124506
0.74,2.8703280369433166
0.75,2.756251111055779
0.76,2.6467080027462666
0.77,2.5415185236703506
0.78,2.4405096429694964
0.79,2.3435152119788403
0.8,2.2503756797358694
0.81,2.160937838644925
0.8200000000000001,2.075054572568582
0.83,1.9925846103116092
0.84,1.9133922933781595
0.85,1.8373473584599267
0.86,1.764324714783084
0.87,1.69420424887659
0.88,1.6268706163304993
0.89,1.5622130589743473
0.9,1.5001252217810102
0.91,1.4405049707961162
0.92,1.3832542403374655
0.93,1.3282788546054165
0.9400000000000001,1.2754883835963784
0.95,1.2247959917929367
0.96,1.1761182938529817
0.97,1.1293752178690903
0.98,1.0844898766950575
0.99,1.041388437426812
1,0.9999999997738359
