"","iso_a3","GDP_FractionChange_perC","GDP_FractionChange_perC_se"
"156","GHA",-0.00162060978048518,0.000145052565839644
"157","DEU",-0.00100041861188171,2.95520822111655e-05
"158","GEO",-0.00083219127807842,4.18546486668531e-05
"159","GMB",-0.000738836556901874,0.000135785452933466
"160","GAB",-0.00508574453311023,0.00054913924281798
"161","-99",NA,NA
"162","SPM",NA,NA
"163","WLF",NA,NA
"164","MAF",NA,NA
"165","BLM",NA,NA
"166","PYF",0,0
"167","NCL",0,0
"168","ATF",NA,NA
"169","ALA",NA,NA
"170","FIN",-0.000527802296086644,0.000160660687552784
"171","FJI",-0.00307275742109914,0.000462969041386153
"172","ETH",NA,NA
"173","EST",-0.00055312253250191,0.00012034764290159
"174","ERI",0,0
"175","GNQ",-0.00420794607460079,0.000288432774062973
"176","SLV",-0.00179600273657317,0.000179883858579964
"177","EGY",-0.000672640733830634,2.67460314189559e-05
"178","ECU",-0.00121720392140476,5.90192084122076e-05
"179","DOM",-0.00232509567484632,0.000202566325248493
"180","DMA",NA,NA
"181","DJI",-0.00960030925884143,0.000556940824635816
"182","GRL",NA,NA
"183","FRO",NA,NA
"184","DNK",-0.00134984388129711,4.06984636033766e-05
"185","CZE",NA,NA
"186","-99",NA,NA
"187","CYP",-0.000337778585643742,3.56850558638741e-05
"188","CUB",0,0
"189","HRV",-0.000341410222554646,1.63169277380347e-05
"190","CIV",-0.00131307482180548,7.26505743298309e-05
"191","CRI",-0.001241707946206,6.63740116260881e-05
"192","COD",NA,NA
"193","COG",-0.00250765198526384,0.000211097176197652
"194","COM",-0.00475546696210162,0.000323163550758827
"195","COL",-0.00112666585977796,7.18335233863337e-05
"196","CHN",-0.000818352628113389,5.5867983646632e-05
"197","MAC",-0.00476019788646018,0.000305009527136729
"198","HKG",-0.00745508999444084,0.000322735787328834
"199","CHL",-0.00208491545147053,0.000129827989275712
"200","TCD",NA,NA
"201","CAF",NA,NA
"202","CPV",-0.00229138630937512,0.000173416486145018
"203","CAN",-0.0010877254602567,9.83862433356906e-05
"204","CMR",-0.000808303885238155,4.3660092420938e-05
"205","KHM",-0.000725836871108218,0.000181560509052263
