"","countrycode","GDPDam_perC","GDPDam_perC_se","GDPDam_perC_sq","GDPDam_perC_sq_se"
"68","NIC",-5.55936571098356e-05,2.80732662699769e-07,2.28545720161193e-06,1.40646573514548e-07
"69","NZL",3.73448113291643e-05,2.53553127651946e-07,-1.28344849573052e-05,1.27029673943859e-07
"70","OMN",-1.36229698448376e-06,7.50004038558576e-09,1.23937207264938e-07,3.75750712905641e-09
"71","PAK",-6.00260119616174e-05,1.05932596327083e-06,9.94558827240888e-06,5.30720456737088e-07
"72","PAN",-4.13375764634529e-05,1.36288045125698e-07,-9.80861164941154e-06,6.82800724845667e-08
"73","PER",-4.11255929280707e-08,1.00071202284122e-10,-1.16086228152136e-08,5.01354974992533e-11
"74","PHL",-2.3571179815614e-05,4.2329708629606e-07,-4.81843859322251e-08,2.12071100646751e-07
"75","PNG",-2.73008703605357e-05,5.14140687216062e-07,-9.756537667397e-06,2.57583585985108e-07
"76","PRI",-4.379422324849e-08,3.26945950024609e-10,5.45906551687742e-09,1.6379934972012e-10
"77","PYF",-1.12050951549725e-09,1.27912137460414e-11,6.53817183981828e-11,6.40837573787023e-12
"78","QAT",0,0,0,0
"79","SAU",-2.8317398132413e-06,2.98962305320479e-08,1.66212309757688e-07,1.49779592616567e-08
"80","SDN",-3.77270492535844e-07,1.15048127364836e-08,9.69579585907078e-08,5.76389107969047e-09
"81","SEN",-0.00328314676719245,7.28207119554642e-06,0.000204580270112286,3.64830494568396e-06
"82","SLB",-0.000200237492183837,4.6995424420273e-07,4.22658848286368e-05,2.35446255238285e-07
"83","SLE",-0.00131150955766524,2.49555950167649e-06,0.000225240780554412,1.25027095008122e-06
"84","SLV",-5.66106000129102e-06,2.01801853403238e-08,1.09508964366127e-06,1.01102375965438e-08
"85","SOM",-3.19290096277205e-06,1.0617412204469e-07,1.03000233629154e-06,5.31930496362345e-08
"86","STP",-2.46243705915019e-07,1.98331036544322e-09,7.3626030482902e-08,9.93635027833566e-10
"87","SUR",-0.00012092219977574,5.92077224800793e-07,-1.89856771416241e-05,2.96629655143805e-07
"88","TCA",-2.02745363913633e-06,1.60485581755325e-08,-1.672743938828e-07,8.04029960579076e-09
"89","TGO",-1.1232736621286e-06,5.15000329887998e-09,1.46011773310357e-07,2.58014265461774e-09
"90","THA",-4.64652305719436e-05,5.46932643281963e-07,4.90975097457231e-07,2.74012298679794e-07
"91","TLS",-9.69563556937279e-07,7.36786870033084e-09,1.92622356540971e-07,3.69128934567497e-09
"92","TON",-8.83813543454198e-06,1.33463410490786e-07,-1.54285235753945e-06,6.68649354676968e-08
"93","TTO",0,0,0,0
"94","TZA",-8.36200606957285e-05,5.5334688825479e-07,5.99418249313258e-06,2.77225824204167e-07
"95","USA",-1.74604397188488e-06,9.52765509222363e-09,7.97139672042819e-08,4.77333855441964e-09
"96","VCT",-3.71789170963765e-06,2.5536519238956e-08,4.73234896199644e-07,1.27937515211352e-08
"97","VEN",-0.000233962235371386,9.45719634229069e-07,-2.18208375513013e-05,4.73803884380925e-07
"98","VGB",-1.02954885859166e-09,1.10889659367077e-11,1.92997429975754e-10,5.55555255957313e-12
"99","VIR",-5.59926933272206e-10,8.13785349435665e-12,3.24793921347571e-11,4.07705038215918e-12
"100","VNM",-0.000343770168295319,1.334758995645e-06,2.51492755411597e-05,6.68711924718062e-07
"101","VUT",-7.38262337739118e-06,1.32804874209333e-07,-8.29681334625092e-07,6.65350099412879e-08
"102","WLF",-8.93224998965501e-11,9.85436566639708e-13,1.66837772399416e-11,4.93701998124958e-13
"103","WSM",-5.19817365617789e-06,1.0528947755836e-07,-5.30007176914807e-08,5.274984429424e-08
"104","YEM",-2.04218599330553e-05,1.23244644928805e-07,2.34860482069276e-06,6.17453517754414e-08
"105","ZAF",1.71935469868591e-07,2.58040265482974e-09,-6.67475298495896e-08,1.29277722157247e-09
