"","iso_a3","GDP_FractionChange_perC","GDP_FractionChange_perC_se"
"145","IND",-7.54009215394215e-07,7.2049932721862e-08
"146","ISL",0.000505079326447472,5.15854630408314e-05
"147","HUN",NA,NA
"148","HND",-0.000103081179461416,8.81606347073613e-06
"149","HTI",-6.06858929099201e-05,4.52859489554969e-06
"150","GUY",-0.000668106758732977,7.46474898277192e-05
"151","GNB",-0.00162572411422998,0.00025249018930234
"152","GIN",-0.000215663119465163,6.58572551464697e-05
"153","GTM",-3.4101901775958e-05,6.85288228743527e-06
"154","GRD",-0.000537053693378626,6.90298039740334e-05
"155","GRC",-8.73111302656089e-05,2.97960465425208e-06
"156","GHA",-9.9542156191914e-05,1.68810845845699e-05
"157","DEU",-1.07695749585779e-06,5.29076526040936e-08
"158","GEO",-8.33011563103319e-06,1.07671357913029e-06
"159","GMB",-0.000111628729274749,2.21886924723691e-05
"160","GAB",1.39123680853801e-05,0.000259776593412949
"161","-99",NA,NA
"162","SPM",NA,NA
"163","WLF",NA,NA
"164","MAF",NA,NA
"165","BLM",NA,NA
"166","PYF",-0.000219111750247346,0.000155966482763425
"167","NCL",0.000447927870681316,8.9774061459976e-05
"168","ATF",NA,NA
"169","ALA",NA,NA
"170","FIN",6.79264845210963e-05,1.19370245547936e-05
"171","FJI",0.000432316027277574,7.2335223251866e-05
"172","ETH",NA,NA
"173","EST",4.98503130810699e-05,2.088057971753e-05
"174","ERI",-0.000293463887795208,5.13766326337231e-05
"175","GNQ",-2.07031080039831e-05,6.2688573780499e-05
"176","SLV",-0.00018080200234027,2.0126124744687e-05
"177","EGY",-4.01608524858356e-06,1.19779467631564e-06
"178","ECU",-1.89236190766388e-05,2.4240647609101e-06
"179","DOM",-2.17440304029379e-05,2.6113162524424e-06
"180","DMA",NA,NA
"181","DJI",-0.000118118504923223,1.15200480538656e-05
"182","GRL",NA,NA
"183","FRO",NA,NA
"184","DNK",-1.53335844832007e-05,1.47189579791923e-06
"185","CZE",NA,NA
"186","-99",NA,NA
"187","CYP",-0.000120082462035308,7.05612737334575e-06
"188","CUB",-0.000118300367811643,3.3528003780523e-05
"189","HRV",-4.52624550698988e-05,4.33246958659153e-06
"190","CIV",-9.1809170334843e-05,1.47561725200168e-05
"191","CRI",-0.000351261651896194,2.74929022086324e-05
"192","COD",-1.16369459372315e-07,1.02922102178999e-05
"193","COG",3.43855871524336e-05,3.37973886727425e-05
"194","COM",-2.89627681470601e-05,5.51005622969167e-06
"195","COL",-2.08369299446084e-05,1.35257457803432e-06
"196","CHN",-1.33775896334463e-05,3.9096616672573e-07
"197","MAC",NA,NA
"198","HKG",NA,NA
"199","CHL",-0.000622212201503927,4.12700574147735e-05
"200","TCD",NA,NA
"201","CAF",NA,NA
"202","CPV",-0.00209848827796483,0.000122557974299549
"203","CAN",7.15729322053613e-05,1.31869626812846e-05
"204","CMR",-8.93199097172187e-06,1.17335910194542e-05
"205","KHM",-4.26926342966001e-05,4.42060633310831e-06
"206","MMR",-8.46133132261695e-05,6.04780380875021e-06
"207","BDI",NA,NA
"208","BFA",NA,NA
"209","BGR",-1.14182856806944e-05,8.48914904914272e-07
"210","BRN",-0.000227060460134731,1.25202235781437e-05
"211","BRA",-5.52245235666861e-05,3.79372521493009e-06
"212","BWA",NA,NA
"213","BIH",NA,NA
"214","BOL",NA,NA
"215","BTN",NA,NA
"216","BEN",-3.58629113239151e-05,8.80514083086045e-06
"217","BLZ",-0.000532992236593484,7.64833883597246e-05
"218","BEL",-4.77680614142705e-07,2.24803566091558e-08
"219","BLR",NA,NA
"220","BRB",-0.000278740157059692,3.36673102672274e-05
"221","BGD",-2.02812931047093e-06,8.26218911647297e-07
"222","BHR",-6.83376031373558e-06,1.49372929713165e-06
"223","BHS",-0.00303815512500574,0.000193898796249437
"224","AZE",0,0
"225","AUT",NA,NA
"226","AUS",-0.000125515350439381,9.60337866059711e-06
"227","-99",NA,NA
"228","HMD",NA,NA
"229","NFK",NA,NA
"230","-99",NA,NA
"231","ARM",NA,NA
"232","ARG",-2.13202327031069e-05,2.30026164560557e-06
"233","ATG",NA,NA
"234","AGO",-1.57365746620759e-05,3.28619918572714e-05
"235","AND",NA,NA
"236","DZA",-1.95638605535728e-05,3.02487710775531e-06
"237","ALB",-8.63541480811094e-05,8.6225835995078e-06
"238","AFG",NA,NA
"239","-99",NA,NA
"240","ATA",NA,NA
"241","SXM",NA,NA
"242","TUV",NA,NA
